ProviderId,DataYear,FiscalYear,AHRQ_PSI_90_Score,CLABSI_Score,CAUTI_Score,SSI_Score
070034,2016,2016,9.0000,4,9,10
070035,2014,2015,10,6,8,NULL
070035,2015,2016,10,4,9,5
070035,2016,2016,10.0000,4,9,5
070036,2014,2015,10,8,10,NULL
070036,2015,2016,8,3,7,10
070036,2016,2016,8.0000,3,7,10
070038,2015,2016,7,10,10,10
070039,2014,2015,6,Not Available,Not Available,NULL
070039,2015,2016,6,Not Available,Not Available,Not Available
070039,2016,2016,6.0000,N/A,N/A,N/A
070040,2014,2015,7,Not Available,Not Available,NULL
070040,2015,2016,6,Not Available,Not Available,Not Available
070040,2016,2016,6.0000,N/A,N/A,N/A
080001,2014,2015,5,6,8,NULL
080001,2015,2016,7,5,7,7
080001,2016,2016,7.0000,5,7,7
080003,2014,2015,2,7,7,NULL
080003,2015,2016,1,3,5,7
080003,2016,2016,1.0000,3,5,7
080004,2014,2015,3,9,10,NULL
080004,2015,2016,5,9,10,10
080004,2016,2016,5.0000,9,10,10
080006,2014,2015,8,3,10,NULL
080006,2015,2016,1,6,9,2
080006,2016,2016,1.0000,6,9,2
080007,2014,2015,5,5,1,NULL
080007,2015,2016,2,8,4,2
080007,2016,2016,2.0000,8,4,2
080009,2014,2015,1,1,10,NULL
080009,2015,2016,2,1,9,9
080009,2016,2016,2.0000,1,9,9
090001,2014,2015,8,10,9,NULL
090001,2015,2016,9,10,10,6
090001,2016,2016,9.0000,10,10,6
090003,2014,2015,3,10,7,NULL
090003,2015,2016,9,10,4,9
090003,2016,2016,9.0000,10,4,9
090004,2014,2015,10,6,7,NULL
090004,2015,2016,10,7,5,5
090004,2016,2016,10.0000,7,5,5
090005,2014,2015,6,10,9,NULL
090005,2015,2016,8,10,10,6
090005,2016,2016,8.0000,10,10,6
090006,2014,2015,6,8,9,NULL
090006,2015,2016,9,6,7,10
090006,2016,2016,9.0000,6,7,10
090008,2014,2015,8,5,6,NULL
090008,2015,2016,3,1,3,Not Available
090008,2016,2016,3.0000,1,3,N/A
090011,2014,2015,10,7,8,NULL
090011,2015,2016,10,6,6,6
090011,2016,2016,10.0000,6,6,6
100001,2014,2015,10,9,8,NULL
100001,2015,2016,10,10,10,10
100001,2016,2016,10.0000,10,10,10
100002,2014,2015,3,3,6,NULL
100002,2015,2016,7,4,3,6
100002,2016,2016,7.0000,4,3,6
100006,2014,2015,8,5,7,NULL
100006,2015,2016,7,4,7,6
100006,2016,2016,7.0000,4,7,6
100007,2014,2015,8,6,6,NULL
100007,2015,2016,9,6,6,8
100007,2016,2016,9.0000,6,6,8
100008,2014,2015,8,5,10,NULL
100008,2015,2016,8,4,10,5
100008,2016,2016,8.0000,4,10,5
100009,2014,2015,10,2,2,NULL
100009,2015,2016,10,8,3,6
100009,2016,2016,10.0000,8,3,6
100012,2014,2015,10,6,7,NULL
100012,2015,2016,10,6,7,6
100012,2016,2016,10.0000,6,7,6
100014,2014,2015,8,7,4,NULL
100014,2015,2016,8,1,2,3
100014,2016,2016,8.0000,1,2,3
100017,2014,2015,2,9,9,NULL
100017,2015,2016,1,10,9,3
100017,2016,2016,1.0000,10,9,3
100018,2014,2015,4,2,3,NULL
100018,2015,2016,2,2,4,4
100018,2016,2016,2.0000,2,4,4
100019,2014,2015,8,2,6,NULL
100019,2015,2016,8,4,6,4
100019,2016,2016,8.0000,4,6,4
100022,2014,2015,10,7,5,NULL
100022,2015,2016,10,8,7,5
100022,2016,2016,10.0000,8,7,5
100023,2014,2015,7,7,8,NULL
100023,2015,2016,1,7,9,10
100023,2016,2016,1.0000,7,9,10
100025,2014,2015,4,9,9,NULL
100025,2015,2016,7,9,10,7
100025,2016,2016,7.0000,9,10,7
100026,2014,2015,1,2,7,NULL
100026,2015,2016,2,5,4,2
100026,2016,2016,2.0000,5,4,2
100028,2014,2015,1,1,1,NULL
100028,2015,2016,1,1,1,2
100028,2016,2016,1.0000,1,1,2
100029,2014,2015,2,10,10,NULL
100029,2015,2016,1,9,10,3
100029,2016,2016,1.0000,9,10,3
100030,2014,2015,1,7,8,NULL
100030,2015,2016,4,3,9,3
100030,2016,2016,4.0000,3,9,3
100032,2014,2015,10,8,2,NULL
100032,2015,2016,10,5,5,5
100032,2016,2016,10.0000,5,5,5
100034,2014,2015,9,8,3,NULL
100034,2015,2016,7,8,3,8
100034,2016,2016,7.0000,8,3,8
100035,2014,2015,4,10,10,NULL
100035,2015,2016,7,9,10,4
100035,2016,2016,7.0000,9,10,4
100038,2014,2015,9,4,4,NULL
100038,2015,2016,9,5,4,4
100038,2016,2016,9.0000,5,4,4
100039,2014,2015,9,6,7,NULL
100039,2015,2016,9,7,5,4
100039,2016,2016,9.0000,7,5,4
100040,2014,2015,1,6,7,NULL
100040,2015,2016,2,5,8,6
100040,2016,2016,2.0000,5,8,6
100043,2014,2015,5,5,5,NULL
100043,2015,2016,2,7,4,4
100043,2016,2016,2.0000,7,4,4
100044,2014,2015,8,3,3,NULL
100044,2015,2016,7,6,3,4
100044,2016,2016,7.0000,6,3,4
100045,2014,2015,7,3,5,NULL
100045,2015,2016,4,3,7,7
100045,2016,2016,4.0000,3,7,7
100046,2014,2015,8,2,1,NULL
100046,2015,2016,4,5,3,1
100046,2016,2016,4.0000,5,3,1
100047,2014,2015,2,6,5,NULL
100047,2015,2016,3,4,1,1
100047,2016,2016,3.0000,4,1,1
100048,2014,2015,6,Not Available,Not Available,NULL
100048,2015,2016,6,Not Available,Not Available,Not Available
100048,2016,2016,6.0000,N/A,N/A,N/A
100049,2014,2015,8,10,2,NULL
100049,2015,2016,10,9,5,10
100049,2016,2016,10.0000,9,5,10
100050,2014,2015,1,10,5,NULL
100050,2015,2016,1,10,5,1
100050,2016,2016,1.0000,10,5,1
100051,2014,2015,10,10,10,NULL
100051,2015,2016,10,8,9,8
100051,2016,2016,10.0000,8,9,8
100052,2014,2015,7,7,6,NULL
100052,2015,2016,4,7,7,9
100052,2016,2016,4.0000,7,7,9
100053,2014,2015,1,8,4,NULL
100053,2015,2016,1,9,6,2
100053,2016,2016,1.0000,9,6,2
100054,2014,2015,2,Not Available,3,NULL
100054,2015,2016,1,9,5,1
100054,2016,2016,1.0000,9,5,1
100055,2014,2015,4,1,1,NULL
100055,2015,2016,7,1,1,3
100055,2016,2016,7.0000,1,1,3
100057,2014,2015,9,5,8,NULL
100057,2015,2016,8,4,5,2
100057,2016,2016,8.0000,4,5,2
100062,2014,2015,1,7,5,NULL
100062,2015,2016,2,9,4,3
100062,2016,2016,2.0000,9,4,3
100063,2014,2015,8,7,5,NULL
100063,2015,2016,8,4,4,3
100063,2016,2016,8.0000,4,4,3
100067,2014,2015,9,6,7,NULL
100067,2015,2016,10,7,4,7
100067,2016,2016,10.0000,7,4,7
100068,2014,2015,1,10,7,NULL
100068,2015,2016,1,8,7,7
100068,2016,2016,1.0000,8,7,7
100069,2014,2015,8,10,4,NULL
100069,2015,2016,7,6,6,1
100069,2016,2016,7.0000,6,6,1
100070,2014,2015,10,10,10,NULL
100070,2015,2016,9,10,9,6
100070,2016,2016,9.0000,10,9,6
100071,2014,2015,4,10,7,NULL
100071,2015,2016,4,10,6,4
100071,2016,2016,4.0000,10,6,4
100072,2014,2015,6,3,2,NULL
100072,2015,2016,6,2,1,2
100072,2016,2016,6.0000,2,1,2
100073,2014,2015,2,5,3,NULL
100073,2015,2016,6,6,5,1
100073,2016,2016,6.0000,6,5,1
100075,2014,2015,9,6,5,NULL
100075,2015,2016,7,5,4,5
100075,2016,2016,7.0000,5,4,5
100077,2014,2015,9,5,4,NULL
100077,2015,2016,5,6,2,4
100077,2016,2016,5.0000,6,2,4
100080,2014,2015,6,7,4,NULL
100080,2015,2016,9,9,5,6
100080,2016,2016,9.0000,9,5,6
100081,2014,2015,5,Not Available,1,NULL
100081,2015,2016,4,Not Available,1,Not Available
100081,2016,2016,4.0000,N/A,1,N/A
100084,2014,2015,4,9,9,NULL
100084,2015,2016,3,3,8,5
100084,2016,2016,3.0000,3,8,5
100086,2014,2015,6,3,4,NULL
100086,2015,2016,4,6,4,3
100086,2016,2016,4.0000,6,4,3
100087,2014,2015,3,9,10,NULL
100087,2015,2016,1,10,10,7
100087,2016,2016,1.0000,10,10,7
100088,2014,2015,5,4,8,NULL
100088,2015,2016,4,5,9,7
100088,2016,2016,4.0000,5,9,7
100090,2014,2015,8,4,3,NULL
100090,2015,2016,5,5,2,4
100090,2016,2016,5.0000,5,2,4
100092,2014,2015,3,10,8,NULL
100092,2015,2016,1,10,6,5
100092,2016,2016,1.0000,10,6,5
100093,2014,2015,2,8,8,NULL
100093,2015,2016,9,8,9,6
100093,2016,2016,9.0000,8,9,6
100099,2014,2015,6,1,3,NULL
100099,2015,2016,3,1,1,8
100099,2016,2016,3.0000,1,1,8
100102,2014,2015,7,Not Available,1,NULL
100102,2015,2016,2,Not Available,1,1
100102,2016,2016,2.0000,N/A,1,1
100105,2014,2015,6,6,8,NULL
100105,2015,2016,6,5,6,3
100105,2016,2016,6.0000,5,6,3
100106,2014,2015,3,Not Available,Not Available,NULL
100106,2015,2016,5,Not Available,Not Available,Not Available
100106,2016,2016,5.0000,N/A,N/A,N/A
100107,2014,2015,5,9,7,NULL
100107,2015,2016,5,9,4,7
100107,2016,2016,5.0000,9,4,7
100109,2014,2015,4,5,8,NULL
100109,2015,2016,4,4,7,4
100109,2016,2016,4.0000,4,7,4
100110,2014,2015,2,5,5,NULL
100110,2015,2016,3,7,3,4
100110,2016,2016,3.0000,7,3,4
100113,2014,2015,4,4,5,NULL
100113,2015,2016,5,5,6,8
100113,2016,2016,5.0000,5,6,8
100117,2014,2015,5,1,8,NULL
100117,2015,2016,2,3,6,5
100117,2016,2016,2.0000,3,6,5
100118,2014,2015,8,1,6,NULL
100118,2015,2016,6,9,9,3
100118,2016,2016,6.0000,9,9,3
100121,2014,2015,6,5,6,NULL
100121,2015,2016,4,9,6,1
100121,2016,2016,4.0000,9,6,1
100122,2014,2015,4,1,8,NULL
100122,2015,2016,4,1,6,2
100122,2016,2016,4.0000,1,6,2
100124,2014,2015,6,1,2,NULL
100124,2015,2016,4,1,2,5
100124,2016,2016,4.0000,1,2,5
100125,2014,2015,2,3,1,NULL
100125,2015,2016,2,6,4,6
100125,2016,2016,2.0000,6,4,6
100126,2014,2015,8,9,3,NULL
100126,2015,2016,9,7,2,5
100126,2016,2016,9.0000,7,2,5
100127,2014,2015,9,4,6,NULL
100127,2015,2016,8,4,6,7
100127,2016,2016,8.0000,4,6,7
100128,2014,2015,10,6,7,NULL
100128,2015,2016,10,7,8,9
100128,2016,2016,10.0000,7,8,9
100130,2014,2015,7,8,3,NULL
100130,2015,2016,6,6,3,Not Available
100130,2016,2016,6.0000,6,3,N/A
100131,2014,2015,3,2,6,NULL
100131,2015,2016,1,2,2,4
100131,2016,2016,1.0000,2,2,4
100132,2014,2015,1,3,5,NULL
100132,2015,2016,2,4,3,2
100132,2016,2016,2.0000,4,3,2
100134,2014,2015,7,10,10,NULL
100134,2015,2016,7,10,10,10
100134,2016,2016,7.0000,10,10,10
100135,2014,2015,1,4,6,NULL
100135,2015,2016,1,5,7,6
100135,2016,2016,1.0000,5,7,6
100137,2014,2015,10,10,2,NULL
100137,2015,2016,9,10,3,7
100137,2016,2016,9.0000,10,3,7
100140,2014,2015,1,1,1,NULL
100140,2015,2016,4,1,6,2
100140,2016,2016,4.0000,1,6,2
100142,2014,2015,2,10,6,NULL
100142,2015,2016,6,10,3,6
100142,2016,2016,6.0000,10,3,6
100150,2014,2015,9,1,10,NULL
100150,2015,2016,6,8,10,4
100150,2016,2016,6.0000,8,10,4
100151,2014,2015,3,7,5,NULL
100151,2015,2016,5,9,7,4
100151,2016,2016,5.0000,9,7,4
100154,2014,2015,5,7,9,NULL
100154,2015,2016,5,5,10,2
100154,2016,2016,5.0000,5,10,2
100156,2014,2015,5,1,1,NULL
100156,2015,2016,5,Not Available,1,3
100156,2016,2016,5.0000,N/A,1,3
100157,2014,2015,1,8,8,NULL
100157,2015,2016,1,8,6,5
100157,2016,2016,1.0000,8,6,5
100161,2014,2015,3,9,10,NULL
100161,2015,2016,2,10,8,5
100161,2016,2016,2.0000,10,8,5
100166,2014,2015,4,10,6,NULL
100166,2015,2016,1,3,3,3
100166,2016,2016,1.0000,3,3,3
100167,2014,2015,5,6,7,NULL
100167,2015,2016,3,9,9,5
100167,2016,2016,3.0000,9,9,5
100168,2014,2015,4,6,5,NULL
100168,2015,2016,9,5,3,4
100168,2016,2016,9.0000,5,3,4
100173,2014,2015,3,8,7,NULL
100173,2015,2016,9,7,6,10
100173,2016,2016,9.0000,7,6,10
100175,2014,2015,5,Not Available,6,NULL
100175,2015,2016,3,1,3,Not Available
100175,2016,2016,3.0000,1,3,N/A
100176,2014,2015,9,3,2,NULL
100176,2015,2016,2,7,2,1
100176,2016,2016,2.0000,7,2,1
100177,2014,2015,8,1,4,NULL
100177,2015,2016,5,5,6,1
100177,2016,2016,5.0000,5,6,1
100179,2014,2015,8,4,10,NULL
100179,2015,2016,3,8,10,8
100179,2016,2016,3.0000,8,10,8
100180,2014,2015,3,10,10,NULL
100180,2015,2016,2,10,10,7
100180,2016,2016,2.0000,10,10,7
100181,2014,2015,2,8,1,NULL
100181,2015,2016,3,8,1,Not Available
100181,2016,2016,3.0000,8,1,N/A
100183,2014,2015,1,10,5,NULL
100183,2015,2016,2,10,3,2
100183,2016,2016,2.0000,10,3,2
100187,2014,2015,6,8,8,NULL
100187,2015,2016,3,7,7,6
100187,2016,2016,3.0000,7,7,6
100189,2014,2015,2,9,10,NULL
100189,2015,2016,1,9,10,3
100189,2016,2016,1.0000,9,10,3
100191,2014,2015,8,5,5,NULL
100191,2015,2016,6,5,4,6
100191,2016,2016,6.0000,5,4,6
100200,2014,2015,3,10,9,NULL
100200,2015,2016,3,7,7,6
100200,2016,2016,3.0000,7,7,6
100204,2014,2015,1,10,9,NULL
100204,2015,2016,2,10,10,7
100204,2016,2016,2.0000,10,10,7
100206,2014,2015,6,5,3,NULL
100206,2015,2016,7,5,3,2
100206,2016,2016,7.0000,5,3,2
100209,2014,2015,7,9,10,NULL
100209,2015,2016,3,5,7,1
100209,2016,2016,3.0000,5,7,1
100211,2014,2015,3,10,4,NULL
100211,2015,2016,9,8,5,3
100211,2016,2016,9.0000,8,5,3
100212,2014,2015,2,5,3,NULL
100212,2015,2016,3,8,3,7
100212,2016,2016,3.0000,8,3,7
100213,2014,2015,5,2,7,NULL
100213,2015,2016,6,6,6,3
100213,2016,2016,6.0000,6,6,3
100217,2014,2015,3,6,7,NULL
100217,2015,2016,3,3,4,1
100217,2016,2016,3.0000,3,4,1
100220,2014,2015,10,8,9,NULL
100220,2015,2016,10,8,10,9
100220,2016,2016,10.0000,8,10,9
100223,2014,2015,5,6,2,NULL
100223,2015,2016,1,4,1,3
100223,2016,2016,1.0000,4,1,3
100224,2014,2015,6,6,2,NULL
100224,2015,2016,2,1,2,1
100224,2016,2016,2.0000,1,2,1
100226,2014,2015,1,10,7,NULL
100226,2015,2016,2,3,3,2
100226,2016,2016,2.0000,3,3,2
100228,2014,2015,4,9,6,NULL
100228,2015,2016,6,8,6,10
100228,2016,2016,6.0000,8,6,10
100230,2014,2015,3,7,6,NULL
100230,2015,2016,5,7,4,9
100230,2016,2016,5.0000,7,4,9
100231,2014,2015,2,7,6,NULL
100231,2015,2016,2,7,6,9
100231,2016,2016,2.0000,7,6,9
100232,2014,2015,1,9,9,NULL
100232,2015,2016,5,8,10,7
100232,2016,2016,5.0000,8,10,7
100234,2014,2015,2,8,5,NULL
100234,2015,2016,4,4,8,10
100234,2016,2016,4.0000,4,8,10
100236,2014,2015,6,8,4,NULL
100236,2015,2016,2,7,3,6
100236,2016,2016,2.0000,7,3,6
100238,2014,2015,4,9,8,NULL
100238,2015,2016,2,5,7,3
100238,2016,2016,2.0000,5,7,3
100239,2014,2015,3,4,1,NULL
100240,2014,2015,6,Not Available,Not Available,NULL
100240,2015,2016,6,Not Available,Not Available,Not Available
100240,2016,2016,6.0000,N/A,N/A,N/A
100242,2014,2015,5,3,1,NULL
100242,2015,2016,1,3,2,1
100242,2016,2016,1.0000,3,2,1
100243,2014,2015,3,10,6,NULL
100243,2015,2016,2,10,7,3
100243,2016,2016,2.0000,10,7,3
100244,2014,2015,10,7,5,NULL
100244,2015,2016,9,5,8,4
100244,2016,2016,9.0000,5,8,4
100246,2014,2015,3,4,2,NULL
100246,2015,2016,2,4,3,2
100246,2016,2016,2.0000,4,3,2
100248,2014,2015,9,2,2,NULL
100248,2015,2016,9,1,1,2
100248,2016,2016,9.0000,1,1,2
100249,2014,2015,5,1,5,NULL
100249,2015,2016,9,4,4,2
100249,2016,2016,9.0000,4,4,2
100252,2014,2015,1,1,3,NULL
100252,2015,2016,2,4,5,5
100252,2016,2016,2.0000,4,5,5
100253,2014,2015,10,6,5,NULL
100253,2015,2016,8,6,2,1
100253,2016,2016,8.0000,6,2,1
100254,2014,2015,6,8,6,NULL
100254,2015,2016,5,10,10,2
100254,2016,2016,5.0000,10,10,2
100255,2014,2015,9,5,1,NULL
100255,2015,2016,10,5,3,10
100255,2016,2016,10.0000,5,3,10
100256,2014,2015,1,8,7,NULL
100256,2015,2016,2,9,8,6
100256,2016,2016,2.0000,9,8,6
100258,2014,2015,1,2,2,NULL
100258,2015,2016,1,3,3,3
100258,2016,2016,1.0000,3,3,3
100259,2014,2015,10,8,1,NULL
100259,2015,2016,9,6,2,10
100259,2016,2016,9.0000,6,2,10
100260,2014,2015,5,3,2,NULL
100260,2015,2016,5,1,1,3
100260,2016,2016,5.0000,1,1,3
100264,2014,2015,3,3,3,NULL
100264,2015,2016,1,3,4,4
100264,2016,2016,1.0000,3,4,4
100265,2014,2015,6,5,4,NULL
100265,2015,2016,5,4,4,4
100265,2016,2016,5.0000,4,4,4
100266,2014,2015,1,6,7,NULL
100266,2015,2016,3,1,8,1
100266,2016,2016,3.0000,1,8,1
100267,2014,2015,1,1,1,NULL
100267,2015,2016,3,8,1,1
100267,2016,2016,3.0000,8,1,1
100268,2014,2015,2,5,6,NULL
100268,2015,2016,3,5,5,8
100268,2016,2016,3.0000,5,5,8
100269,2014,2015,4,6,2,NULL
100269,2015,2016,3,9,3,3
100269,2016,2016,3.0000,9,3,3
100275,2014,2015,1,7,6,NULL
100275,2015,2016,6,7,8,2
100275,2016,2016,6.0000,7,8,2
100276,2014,2015,8,10,10,NULL
100276,2015,2016,7,10,9,6
100276,2016,2016,7.0000,10,9,6
100277,2014,2015,7,Not Available,Not Available,NULL
100277,2015,2016,6,Not Available,Not Available,Not Available
100277,2016,2016,6.0000,N/A,N/A,N/A
100281,2014,2015,7,5,7,NULL
100281,2015,2016,9,4,9,8
100281,2016,2016,9.0000,4,9,8
100284,2014,2015,2,1,1,NULL
100284,2015,2016,2,8,1,3
100284,2016,2016,2.0000,8,1,3
100285,2014,2015,6,6,6,NULL
100285,2015,2016,2,7,3,2
100285,2016,2016,2.0000,7,3,2
100286,2014,2015,3,10,7,NULL
100286,2015,2016,3,10,6,6
100286,2016,2016,3.0000,10,6,6
100287,2014,2015,4,6,5,NULL
100287,2015,2016,9,5,6,9
100287,2016,2016,9.0000,5,6,9
100288,2014,2015,5,4,5,NULL
100288,2015,2016,3,3,9,1
100288,2016,2016,3.0000,3,9,1
100289,2014,2015,3,1,2,NULL
100289,2015,2016,4,6,2,5
100289,2016,2016,4.0000,6,2,5
100290,2014,2015,3,7,10,NULL
100290,2015,2016,1,8,8,2
100290,2016,2016,1.0000,8,8,2
100291,2014,2015,6,10,6,NULL
100291,2015,2016,8,10,6,6
100291,2016,2016,8.0000,10,6,6
100292,2014,2015,1,7,6,NULL
100292,2015,2016,1,7,8,4
100292,2016,2016,1.0000,7,8,4
100296,2014,2015,9,8,1,NULL
100296,2015,2016,9,9,1,8
100296,2016,2016,9.0000,9,1,8
100299,2014,2015,2,7,6,NULL
100299,2015,2016,2,6,7,2
100299,2016,2016,2.0000,6,7,2
100302,2014,2015,9,10,2,NULL
100302,2015,2016,5,8,3,1
100302,2016,2016,5.0000,8,3,1
100307,2014,2015,5,3,4,NULL
100307,2015,2016,7,1,2,2
100307,2016,2016,7.0000,1,2,2
100313,2014,2015,5,Not Available,Not Available,NULL
100313,2015,2016,5,Not Available,Not Available,Not Available
100313,2016,2016,5.0000,N/A,N/A,N/A
100314,2014,2015,9,6,3,NULL
100314,2015,2016,8,9,7,7
100314,2016,2016,8.0000,9,7,7
100315,2014,2015,8,4,1,NULL
100315,2015,2016,7,8,3,2
100315,2016,2016,7.0000,8,3,2
100316,2014,2015,7,4,7,NULL
100316,2015,2016,8,6,3,1
100316,2016,2016,8.0000,6,3,1
100319,2014,2015,8,5,1,NULL
100319,2015,2016,9,6,1,3
100319,2016,2016,9.0000,6,1,3
100320,2014,2015,Not Available,Not Available,Not Available,NULL
100320,2015,2016,Not Available,Not Available,Not Available,Not Available
100320,2016,2016,N/A,N/A,N/A,N/A
100321,2014,2015,Not Available,Not Available,Not Available,NULL
100321,2015,2016,4,1,4,10
100321,2016,2016,4.0000,1,4,10
100322,2014,2015,Not Available,Not Available,Not Available,NULL
100322,2015,2016,Not Available,Not Available,Not Available,Not Available
100322,2016,2016,N/A,N/A,N/A,N/A
110001,2014,2015,7,8,6,NULL
110001,2015,2016,3,9,6,4
110001,2016,2016,3.0000,9,6,4
110002,2014,2015,2,1,1,NULL
110002,2015,2016,1,1,4,6
110002,2016,2016,1.0000,1,4,6
110003,2014,2015,7,8,9,NULL
110003,2015,2016,3,4,6,4
110003,2016,2016,3.0000,4,6,4
110004,2014,2015,10,1,10,NULL
110004,2015,2016,9,1,10,8
110004,2016,2016,9.0000,1,10,8
110005,2014,2015,8,3,7,NULL
110005,2015,2016,4,3,5,3
110005,2016,2016,4.0000,3,5,3
110006,2014,2015,2,1,3,NULL
110006,2015,2016,2,1,3,1
110006,2016,2016,2.0000,1,3,1
110007,2014,2015,1,9,9,NULL
110007,2015,2016,6,9,9,5
110007,2016,2016,6.0000,9,9,5
110008,2014,2015,9,3,3,NULL
110008,2015,2016,8,3,1,3
110008,2016,2016,8.0000,3,1,3
110010,2014,2015,8,7,9,NULL
110010,2015,2016,7,6,8,4
110010,2016,2016,7.0000,6,8,4
110011,2014,2015,1,1,7,NULL
110011,2015,2016,5,5,6,7
110011,2016,2016,5.0000,5,6,7
110015,2014,2015,6,1,4,NULL
110015,2015,2016,8,1,4,6
110015,2016,2016,8.0000,1,4,6
110016,2014,2015,1,1,3,NULL
110016,2015,2016,1,5,3,8
110016,2016,2016,1.0000,5,3,8
110018,2014,2015,3,6,7,NULL
110018,2015,2016,3,10,10,3
110018,2016,2016,3.0000,10,10,3
110023,2014,2015,1,1,1,NULL
110023,2015,2016,1,1,2,5
110023,2016,2016,1.0000,1,2,5
110024,2014,2015,9,6,10,NULL
110024,2015,2016,10,9,7,9
110024,2016,2016,10.0000,9,7,9
110025,2014,2015,2,10,5,NULL
110025,2015,2016,5,9,5,4
110025,2016,2016,5.0000,9,5,4
110026,2014,2015,7,Not Available,Not Available,NULL
110026,2015,2016,7,Not Available,Not Available,Not Available
110026,2016,2016,7.0000,N/A,N/A,N/A
110027,2014,2015,2,Not Available,Not Available,NULL
110027,2015,2016,1,Not Available,1,1
110027,2016,2016,1.0000,N/A,1,1
110028,2014,2015,2,9,6,NULL
110028,2015,2016,1,9,5,3
110028,2016,2016,1.0000,9,5,3
110029,2014,2015,2,3,6,NULL
110029,2015,2016,2,3,6,7
110029,2016,2016,2.0000,3,6,7
110030,2014,2015,9,10,7,NULL
110030,2015,2016,9,8,9,2
110030,2016,2016,9.0000,8,9,2
110031,2014,2015,1,9,9,NULL
110031,2015,2016,1,10,10,10
110031,2016,2016,1.0000,10,10,10
110032,2014,2015,10,1,5,NULL
110032,2015,2016,9,1,3,3
110032,2016,2016,9.0000,1,3,3
110034,2014,2015,10,5,8,NULL
110034,2015,2016,10,7,9,10
110034,2016,2016,10.0000,7,9,10
110035,2014,2015,9,7,9,NULL
110035,2015,2016,9,7,9,6
110035,2016,2016,9.0000,7,9,6
110036,2014,2015,10,5,8,NULL
110036,2015,2016,10,6,9,8
110036,2016,2016,10.0000,6,9,8
110038,2014,2015,3,7,4,NULL
110038,2015,2016,2,8,5,3
110038,2016,2016,2.0000,8,5,3
110039,2014,2015,5,9,5,NULL
110039,2015,2016,6,10,10,7
110039,2016,2016,6.0000,10,10,7
110040,2014,2015,6,Not Available,1,NULL
110040,2015,2016,7,Not Available,Not Available,Not Available
110040,2016,2016,7.0000,N/A,N/A,N/A
110041,2014,2015,7,Not Available,1,NULL
110041,2015,2016,7,Not Available,1,4
110041,2016,2016,7.0000,N/A,1,4
110042,2014,2015,7,Not Available,Not Available,NULL
110042,2015,2016,9,Not Available,6,1
110042,2016,2016,9.0000,N/A,6,1
110043,2014,2015,6,6,4,NULL
110043,2015,2016,8,9,3,2
110043,2016,2016,8.0000,9,3,2
110044,2014,2015,4,Not Available,4,NULL
110044,2015,2016,8,Not Available,5,1
110044,2016,2016,8.0000,N/A,5,1
110045,2014,2015,3,Not Available,1,NULL
110045,2015,2016,4,Not Available,1,1
110045,2016,2016,4.0000,N/A,1,1
110046,2014,2015,9,5,3,NULL
110046,2015,2016,9,1,2,1
110046,2016,2016,9.0000,1,2,1
110050,2014,2015,5,Not Available,Not Available,NULL
110050,2015,2016,5,Not Available,Not Available,Not Available
110050,2016,2016,5.0000,N/A,N/A,N/A
110051,2014,2015,9,Not Available,Not Available,NULL
110051,2015,2016,5,Not Available,Not Available,1
110051,2016,2016,5.0000,N/A,N/A,1
110054,2014,2015,1,7,3,NULL
110054,2015,2016,4,9,3,3
110054,2016,2016,4.0000,9,3,3
110064,2014,2015,1,7,9,NULL
110064,2015,2016,2,7,10,5
110064,2016,2016,2.0000,7,10,5
110069,2014,2015,2,4,2,NULL
110069,2015,2016,1,4,3,4
110069,2016,2016,1.0000,4,3,4
110071,2014,2015,4,Not Available,1,NULL
110071,2015,2016,4,Not Available,1,Not Available
110071,2016,2016,4.0000,N/A,1,N/A
110073,2014,2015,5,Not Available,1,NULL
110073,2015,2016,8,Not Available,1,Not Available
110073,2016,2016,8.0000,N/A,1,N/A
110074,2014,2015,9,7,9,NULL
110074,2015,2016,9,8,10,7
110074,2016,2016,9.0000,8,10,7
110075,2014,2015,6,3,3,NULL
110075,2015,2016,7,5,3,5
110075,2016,2016,7.0000,5,3,5
110076,2014,2015,2,7,4,NULL
110076,2015,2016,6,8,8,10
110076,2016,2016,6.0000,8,8,10
110078,2014,2015,10,8,8,NULL
110078,2015,2016,10,9,8,9
110078,2016,2016,10.0000,9,8,9
110079,2014,2015,10,10,8,NULL
110079,2015,2016,10,9,8,9
110079,2016,2016,10.0000,9,8,9
110082,2014,2015,10,3,8,NULL
110082,2015,2016,9,4,9,5
110082,2016,2016,9.0000,4,9,5
110083,2014,2015,10,10,10,NULL
110083,2015,2016,10,10,10,8
110083,2016,2016,10.0000,10,10,8
110086,2014,2015,4,Not Available,1,NULL
110086,2015,2016,4,Not Available,Not Available,Not Available
110086,2016,2016,4.0000,N/A,N/A,N/A
110087,2014,2015,2,9,9,NULL
110087,2015,2016,6,8,9,8
110087,2016,2016,6.0000,8,9,8
110089,2014,2015,4,7,1,NULL
110089,2015,2016,3,9,1,3
110089,2016,2016,3.0000,9,1,3
110091,2014,2015,2,10,1,NULL
110091,2015,2016,1,10,5,10
110091,2016,2016,1.0000,10,5,10
110092,2014,2015,3,Not Available,1,NULL
110092,2015,2016,3,Not Available,1,6
110092,2016,2016,3.0000,N/A,1,6
110095,2014,2015,8,7,7,NULL
110095,2015,2016,8,8,4,9
110095,2016,2016,8.0000,8,4,9
