ProviderId,DataYear,MSPB_1_Score,MeasureStartDate,MeasureEndDate
010034,2014,0.92,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010034,2015,0.88,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010034,2016,0.88,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010035,2012,1,NULL,NULL
010035,2013,0.94,NULL,NULL
010035,2014,0.97,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010035,2015,0.95,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010035,2016,0.95,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010036,2012,0.97,NULL,NULL
010036,2013,0.99,NULL,NULL
010036,2014,0.90,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010036,2015,0.93,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010036,2016,0.93,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010038,2012,0.99,NULL,NULL
010038,2013,0.98,NULL,NULL
010038,2014,0.98,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010038,2015,0.96,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010038,2016,0.96,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010039,2012,1,NULL,NULL
010039,2013,1.01,NULL,NULL
010039,2014,1.02,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010039,2015,1.00,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010039,2016,1.00,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010040,2012,1.06,NULL,NULL
010040,2013,1.04,NULL,NULL
010040,2014,1.04,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010040,2015,1.03,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010040,2016,1.03,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010043,2012,0.85,NULL,NULL
010044,2012,0.9,NULL,NULL
010044,2013,0.86,NULL,NULL
010044,2014,0.81,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010044,2015,0.89,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010044,2016,0.89,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010045,2012,0.94,NULL,NULL
010045,2013,0.87,NULL,NULL
010045,2014,0.87,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010045,2015,0.94,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010045,2016,0.94,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010046,2012,1.03,NULL,NULL
010046,2013,1.06,NULL,NULL
010046,2014,1.02,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010046,2015,1.04,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010046,2016,1.04,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010047,2012,0.93,NULL,NULL
010047,2013,1.00,NULL,NULL
010047,2014,0.87,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010047,2015,0.88,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010047,2016,0.88,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010049,2012,0.95,NULL,NULL
010049,2013,0.92,NULL,NULL
010049,2014,0.93,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010049,2015,0.99,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010049,2016,0.99,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010050,2012,1.07,NULL,NULL
010050,2013,0.97,NULL,NULL
010051,2012,0.74,NULL,NULL
010051,2013,0.89,NULL,NULL
010051,2014,0.98,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010051,2015,0.95,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010051,2016,0.95,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010052,2014,0.90,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010052,2015,0.79,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010052,2016,0.79,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010054,2012,0.97,NULL,NULL
010054,2013,1.01,NULL,NULL
010054,2014,0.94,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010055,2012,0.97,NULL,NULL
010055,2013,0.99,NULL,NULL
010055,2014,1.01,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010055,2015,0.99,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010055,2016,0.99,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010056,2012,1.04,NULL,NULL
010056,2013,1.04,NULL,NULL
010056,2014,1.03,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010056,2015,1.02,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010056,2016,1.02,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010058,2012,1.04,NULL,NULL
010058,2013,0.97,NULL,NULL
