ProviderId,DataYear,BaseScore,ConsistencyScore
010148,2015,54,20
010148,2016,54,20
010149,2013,35,20
010149,2014,44,20
010149,2015,35,20
010149,2016,35,20
010150,2013,42,20
010150,2014,31,18
010150,2015,29,18
010150,2016,29,18
010157,2013,10,17
010157,2014,19,17
010157,2015,28,16
010157,2016,28,16
010158,2013,31,19
010158,2014,23,18
010158,2015,38,20
010158,2016,38,20
010164,2013,42,20
010164,2014,30,19
010164,2015,21,19
010164,2016,21,19
010168,2013,60,20
010168,2014,58,20
010168,2015,65,20
010168,2016,65,20
010169,2014,21,18
010169,2015,40,20
010169,2016,40,20
020001,2013,19,16
020001,2014,13,19
020001,2015,11,17
020001,2016,11,17
020006,2013,31,20
020006,2014,16,18
020006,2015,10,14
020006,2016,10,14
020008,2013,39,19
020008,2014,29,18
020008,2015,50,20
020008,2016,50,20
020012,2013,31,18
020012,2014,35,20
020012,2015,35,20
020012,2016,35,20
020017,2013,16,19
020017,2014,7,16
020017,2015,7,16
020017,2016,7,16
020018,2014,22,11
020018,2015,8,9
020018,2016,8,9
020024,2013,39,20
020024,2014,21,19
020024,2015,17,16
020024,2016,17,16
020026,2013,25,14
020026,2014,11,13
020026,2015,17,13
020026,2016,17,13
030001,2013,22,18
030001,2014,7,17
030001,2015,0,13
030001,2016,0,13
030002,2013,22,17
030002,2014,26,13
030002,2015,15,12
030002,2016,15,12
030006,2013,26,14
030006,2014,11,14
030006,2015,9,15
030006,2016,9,15
030007,2013,39,20
030007,2014,32,18
030007,2015,32,18
030007,2016,32,18
030010,2013,20,16
030010,2014,9,13
030010,2015,2,13
030010,2016,2,13
030011,2013,27,15
030011,2014,9,13
030011,2015,9,15
030011,2016,9,15
030012,2013,7,13
030012,2014,15,10
030012,2015,33,14
030012,2016,33,14
030013,2013,3,15
030013,2014,9,16
030013,2015,7,17
030013,2016,7,17
030014,2013,8,16
030014,2014,11,14
030014,2015,19,16
030014,2016,19,16
030016,2013,22,15
030016,2014,16,12
030016,2015,4,11
030016,2016,4,11
030022,2013,21,15
030022,2014,8,13
030022,2015,0,11
030022,2016,0,11
030023,2013,15,15
030023,2014,20,19
030023,2015,43,18
030023,2016,43,18
030024,2013,13,17
030024,2014,8,17
030024,2015,11,16
030024,2016,11,16
030030,2013,26,18
030030,2014,4,17
030030,2015,1,15
030030,2016,1,15
030033,2013,33,19
030033,2014,28,18
030033,2015,8,15
030033,2016,8,15
030036,2013,18,16
030036,2014,14,15
030036,2015,6,12
030036,2016,6,12
030037,2013,39,19
030037,2014,21,19
030037,2015,3,17
030037,2016,3,17
030038,2013,18,16
030038,2014,4,13
030038,2015,11,14
030038,2016,11,14
030043,2013,17,14
030043,2014,10,12
030043,2015,0,8
030043,2016,0,8
030055,2013,38,17
030055,2014,4,14
030055,2015,10,15
030055,2016,10,15
030061,2013,32,15
030061,2014,34,15
030061,2015,28,17
030061,2016,28,17
030062,2013,20,17
030062,2014,29,18
030062,2015,21,18
030062,2016,21,18
030064,2013,18,17
030064,2014,2,12
030064,2015,0,13
030064,2016,0,13
030065,2013,18,17
