ProviderId,DataYear,MId_3_AchievementPoints,MId_6_AchievementPoints,MId_7_AchievementPoints,MId_1_AchievementPoints,MId_4_AchievementPoints,MId_5_AchievementPoints,MId_2_AchievementPoints,MId_8_AchievementPoints,MId_3_ImprovementPoints,MId_6_ImprovementPoints,MId_7_ImprovementPoints,MId_1_ImprovementPoints,MId_4_ImprovementPoints,MId_5_ImprovementPoints,MId_2_ImprovementPoints,MId_8_ImprovementPoints,MId_3_DimensionScore,MId_6_DimensionScore,MId_7_DimensionScore,MId_1_DimensionScore,MId_4_DimensionScore,MId_5_DimensionScore,MId_2_DimensionScore,MId_8_DimensionScore
380056,2014,2 out of 10,3 out of 10,3 out of 10,4 out of 10,3 out of 10,3 out of 10,0 out of 10,2 out of 10,2 out of 9,5 out of 9,5 out of 9,5 out of 9,4 out of 9,4 out of 9,3 out of 9,2 out of 9,2 out of 10,5 out of 10,5 out of 10,5 out of 10,4 out of 10,4 out of 10,3 out of 10,2 out of 10
380056,2015,0 out of 10,0 out of 10,0 out of 10,3 out of 10,0 out of 10,1 out of 10,0 out of 10,1 out of 10,0 out of 9,2 out of 9,0 out of 9,4 out of 9,0 out of 9,4 out of 9,1 out of 9,0 out of 9,0 out of 10,2 out of 10,0 out of 10,4 out of 10,0 out of 10,4 out of 10,1 out of 10,1 out of 10
380056,2016,0 out of 10,0 out of 10,0 out of 10,3 out of 10,0 out of 10,1 out of 10,0 out of 10,1 out of 10,0 out of 9,2 out of 9,0 out of 9,4 out of 9,0 out of 9,4 out of 9,1 out of 9,0 out of 9,0 out of 10,2 out of 10,0 out of 10,4 out of 10,0 out of 10,4 out of 10,1 out of 10,1 out of 10
380060,2013,0 out of 10,2 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,2 out of 10,0 out of 10,0 out of 9,0 out of 9,0 out of 9,1 out of 9,1 out of 9,0 out of 9,3 out of 9,0 out of 9,0 out of 10,2 out of 10,0 out of 10,1 out of 10,1 out of 10,0 out of 10,3 out of 10,0 out of 10
380060,2014,0 out of 10,1 out of 10,3 out of 10,1 out of 10,3 out of 10,8 out of 10,2 out of 10,2 out of 10,2 out of 9,1 out of 9,4 out of 9,2 out of 9,4 out of 9,8 out of 9,3 out of 9,3 out of 9,2 out of 10,1 out of 10,4 out of 10,2 out of 10,4 out of 10,8 out of 10,3 out of 10,3 out of 10
380060,2015,0 out of 10,3 out of 10,4 out of 10,1 out of 10,1 out of 10,6 out of 10,1 out of 10,2 out of 10,1 out of 9,2 out of 9,4 out of 9,2 out of 9,2 out of 9,6 out of 9,0 out of 9,2 out of 9,1 out of 10,3 out of 10,4 out of 10,2 out of 10,2 out of 10,6 out of 10,1 out of 10,2 out of 10
380060,2016,0 out of 10,3 out of 10,4 out of 10,1 out of 10,1 out of 10,6 out of 10,1 out of 10,2 out of 10,1 out of 9,2 out of 9,4 out of 9,2 out of 9,2 out of 9,6 out of 9,0 out of 9,2 out of 9,1 out of 10,3 out of 10,4 out of 10,2 out of 10,2 out of 10,6 out of 10,1 out of 10,2 out of 10
380061,2013,2 out of 10,6 out of 10,4 out of 10,0 out of 10,4 out of 10,5 out of 10,2 out of 10,0 out of 10,0 out of 9,4 out of 9,1 out of 9,0 out of 9,3 out of 9,4 out of 9,1 out of 9,0 out of 9,2 out of 10,6 out of 10,4 out of 10,0 out of 10,4 out of 10,5 out of 10,2 out of 10,0 out of 10
380061,2014,0 out of 10,5 out of 10,4 out of 10,0 out of 10,2 out of 10,6 out of 10,4 out of 10,1 out of 10,0 out of 9,0 out of 9,0 out of 9,0 out of 9,1 out of 9,2 out of 9,3 out of 9,2 out of 9,0 out of 10,5 out of 10,4 out of 10,0 out of 10,2 out of 10,6 out of 10,4 out of 10,2 out of 10
380061,2015,0 out of 10,5 out of 10,0 out of 10,0 out of 10,3 out of 10,6 out of 10,3 out of 10,1 out of 10,1 out of 9,3 out of 9,0 out of 9,0 out of 9,3 out of 9,5 out of 9,2 out of 9,1 out of 9,1 out of 10,5 out of 10,0 out of 10,0 out of 10,3 out of 10,6 out of 10,3 out of 10,1 out of 10
380061,2016,0 out of 10,5 out of 10,0 out of 10,0 out of 10,3 out of 10,6 out of 10,3 out of 10,1 out of 10,1 out of 9,3 out of 9,0 out of 9,0 out of 9,3 out of 9,5 out of 9,2 out of 9,1 out of 9,1 out of 10,5 out of 10,0 out of 10,0 out of 10,3 out of 10,6 out of 10,3 out of 10,1 out of 10
380071,2013,3 out of 10,4 out of 10,9 out of 10,3 out of 10,5 out of 10,5 out of 10,6 out of 10,4 out of 10,4 out of 9,4 out of 9,8 out of 9,5 out of 9,6 out of 9,3 out of 9,6 out of 9,4 out of 9,4 out of 10,4 out of 10,9 out of 10,5 out of 10,6 out of 10,5 out of 10,6 out of 10,4 out of 10
380071,2014,4 out of 10,5 out of 10,7 out of 10,1 out of 10,6 out of 10,10 out of 10,4 out of 10,4 out of 10,2 out of 9,3 out of 9,0 out of 9,0 out of 9,4 out of 9,9 out of 9,2 out of 9,2 out of 9,4 out of 10,5 out of 10,7 out of 10,1 out of 10,6 out of 10,10 out of 10,4 out of 10,4 out of 10
380071,2015,3 out of 10,2 out of 10,5 out of 10,1 out of 10,4 out of 10,6 out of 10,1 out of 10,2 out of 10,0 out of 9,0 out of 9,3 out of 9,0 out of 9,2 out of 9,4 out of 9,0 out of 9,0 out of 9,3 out of 10,2 out of 10,5 out of 10,1 out of 10,4 out of 10,6 out of 10,1 out of 10,2 out of 10
380071,2016,3 out of 10,2 out of 10,5 out of 10,1 out of 10,4 out of 10,6 out of 10,1 out of 10,2 out of 10,0 out of 9,0 out of 9,3 out of 9,0 out of 9,2 out of 9,4 out of 9,0 out of 9,0 out of 9,3 out of 10,2 out of 10,5 out of 10,1 out of 10,4 out of 10,6 out of 10,1 out of 10,2 out of 10
380075,2013,0 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,3 out of 10,1 out of 10,1 out of 10,1 out of 9,0 out of 9,3 out of 9,0 out of 9,2 out of 9,3 out of 9,0 out of 9,3 out of 9,1 out of 10,0 out of 10,3 out of 10,0 out of 10,2 out of 10,3 out of 10,1 out of 10,3 out of 10
380075,2014,0 out of 10,1 out of 10,1 out of 10,0 out of 10,0 out of 10,3 out of 10,1 out of 10,0 out of 10,0 out of 9,3 out of 9,2 out of 9,2 out of 9,3 out of 9,3 out of 9,0 out of 9,0 out of 9,0 out of 10,3 out of 10,2 out of 10,2 out of 10,3 out of 10,3 out of 10,1 out of 10,0 out of 10
380075,2015,0 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,6 out of 10,1 out of 10,0 out of 10,2 out of 9,1 out of 9,1 out of 9,0 out of 9,2 out of 9,7 out of 9,2 out of 9,1 out of 9,2 out of 10,1 out of 10,1 out of 10,0 out of 10,2 out of 10,7 out of 10,2 out of 10,1 out of 10
380075,2016,0 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,6 out of 10,1 out of 10,0 out of 10,2 out of 9,1 out of 9,1 out of 9,0 out of 9,2 out of 9,7 out of 9,2 out of 9,1 out of 9,2 out of 10,1 out of 10,1 out of 10,0 out of 10,2 out of 10,7 out of 10,2 out of 10,1 out of 10
380082,2013,0 out of 10,3 out of 10,0 out of 10,1 out of 10,2 out of 10,3 out of 10,2 out of 10,1 out of 10,0 out of 9,0 out of 9,0 out of 9,1 out of 9,0 out of 9,2 out of 9,0 out of 9,0 out of 9,0 out of 10,3 out of 10,0 out of 10,1 out of 10,2 out of 10,3 out of 10,2 out of 10,1 out of 10
380082,2014,1 out of 10,4 out of 10,1 out of 10,2 out of 10,5 out of 10,5 out of 10,4 out of 10,4 out of 10,1 out of 9,1 out of 9,0 out of 9,1 out of 9,1 out of 9,6 out of 9,0 out of 9,3 out of 9,1 out of 10,4 out of 10,1 out of 10,2 out of 10,5 out of 10,6 out of 10,4 out of 10,4 out of 10
380082,2015,3 out of 10,2 out of 10,0 out of 10,0 out of 10,1 out of 10,8 out of 10,4 out of 10,0 out of 10,4 out of 9,0 out of 9,0 out of 9,0 out of 9,0 out of 9,8 out of 9,0 out of 9,0 out of 9,4 out of 10,2 out of 10,0 out of 10,0 out of 10,1 out of 10,8 out of 10,4 out of 10,0 out of 10
380082,2016,3 out of 10,2 out of 10,0 out of 10,0 out of 10,1 out of 10,8 out of 10,4 out of 10,0 out of 10,4 out of 9,0 out of 9,0 out of 9,0 out of 9,0 out of 9,8 out of 9,0 out of 9,0 out of 9,4 out of 10,2 out of 10,0 out of 10,0 out of 10,1 out of 10,8 out of 10,4 out of 10,0 out of 10
380089,2013,1 out of 10,4 out of 10,0 out of 10,0 out of 10,2 out of 10,5 out of 10,0 out of 10,5 out of 10,2 out of 9,0 out of 9,0 out of 9,0 out of 9,0 out of 9,4 out of 9,0 out of 9,0 out of 9,2 out of 10,4 out of 10,0 out of 10,0 out of 10,2 out of 10,5 out of 10,0 out of 10,5 out of 10
380089,2014,2 out of 10,7 out of 10,3 out of 10,0 out of 10,4 out of 10,5 out of 10,2 out of 10,5 out of 10,2 out of 9,6 out of 9,3 out of 9,1 out of 9,3 out of 9,0 out of 9,1 out of 9,0 out of 9,2 out of 10,7 out of 10,3 out of 10,1 out of 10,4 out of 10,5 out of 10,2 out of 10,5 out of 10
380089,2015,0 out of 10,7 out of 10,3 out of 10,2 out of 10,3 out of 10,10 out of 10,2 out of 10,4 out of 10,0 out of 9,5 out of 9,0 out of 9,2 out of 9,1 out of 9,9 out of 9,2 out of 9,0 out of 9,0 out of 10,7 out of 10,3 out of 10,2 out of 10,3 out of 10,10 out of 10,2 out of 10,4 out of 10
380089,2016,0 out of 10,7 out of 10,3 out of 10,2 out of 10,3 out of 10,10 out of 10,2 out of 10,4 out of 10,0 out of 9,5 out of 9,0 out of 9,2 out of 9,1 out of 9,9 out of 9,2 out of 9,0 out of 9,0 out of 10,7 out of 10,3 out of 10,2 out of 10,3 out of 10,10 out of 10,2 out of 10,4 out of 10
380090,2013,2 out of 10,0 out of 10,6 out of 10,0 out of 10,0 out of 10,4 out of 10,3 out of 10,3 out of 10,0 out of 9,0 out of 9,0 out of 9,0 out of 9,0 out of 9,0 out of 9,0 out of 9,0 out of 9,2 out of 10,0 out of 10,6 out of 10,0 out of 10,0 out of 10,4 out of 10,3 out of 10,3 out of 10
380090,2014,0 out of 10,0 out of 10,3 out of 10,0 out of 10,1 out of 10,5 out of 10,0 out of 10,3 out of 10,0 out of 9,0 out of 9,0 out of 9,0 out of 9,1 out of 9,5 out of 9,0 out of 9,0 out of 9,0 out of 10,0 out of 10,3 out of 10,0 out of 10,1 out of 10,5 out of 10,0 out of 10,3 out of 10
380090,2015,0 out of 10,0 out of 10,0 out of 10,1 out of 10,0 out of 10,7 out of 10,1 out of 10,1 out of 10,0 out of 9,0 out of 9,0 out of 9,2 out of 9,0 out of 9,3 out of 9,0 out of 9,0 out of 9,0 out of 10,0 out of 10,0 out of 10,2 out of 10,0 out of 10,7 out of 10,1 out of 10,1 out of 10
380090,2016,0 out of 10,0 out of 10,0 out of 10,1 out of 10,0 out of 10,7 out of 10,1 out of 10,1 out of 10,0 out of 9,0 out of 9,0 out of 9,2 out of 9,0 out of 9,3 out of 9,0 out of 9,0 out of 9,0 out of 10,0 out of 10,0 out of 10,2 out of 10,0 out of 10,7 out of 10,1 out of 10,1 out of 10
380091,2013,2 out of 10,4 out of 10,3 out of 10,2 out of 10,1 out of 10,8 out of 10,5 out of 10,1 out of 10,2 out of 9,1 out of 9,0 out of 9,1 out of 9,2 out of 9,4 out of 9,3 out of 9,2 out of 9,2 out of 10,4 out of 10,3 out of 10,2 out of 10,2 out of 10,8 out of 10,5 out of 10,2 out of 10
380091,2014,2 out of 10,4 out of 10,3 out of 10,2 out of 10,2 out of 10,9 out of 10,3 out of 10,1 out of 10,2 out of 9,3 out of 9,2 out of 9,1 out of 9,2 out of 9,8 out of 9,1 out of 9,1 out of 9,2 out of 10,4 out of 10,3 out of 10,2 out of 10,2 out of 10,9 out of 10,3 out of 10,1 out of 10
380091,2015,2 out of 10,4 out of 10,2 out of 10,1 out of 10,2 out of 10,8 out of 10,3 out of 10,0 out of 10,0 out of 9,2 out of 9,0 out of 9,0 out of 9,2 out of 9,2 out of 9,0 out of 9,0 out of 9,2 out of 10,4 out of 10,2 out of 10,1 out of 10,2 out of 10,8 out of 10,3 out of 10,0 out of 10
380091,2016,2 out of 10,4 out of 10,2 out of 10,1 out of 10,2 out of 10,8 out of 10,3 out of 10,0 out of 10,0 out of 9,2 out of 9,0 out of 9,0 out of 9,2 out of 9,2 out of 9,0 out of 9,0 out of 9,2 out of 10,4 out of 10,2 out of 10,1 out of 10,2 out of 10,8 out of 10,3 out of 10,0 out of 10
380102,2013,1 out of 10,5 out of 10,2 out of 10,2 out of 10,3 out of 10,9 out of 10,2 out of 10,0 out of 10,3 out of 9,3 out of 9,2 out of 9,0 out of 9,5 out of 9,7 out of 9,3 out of 9,0 out of 9,3 out of 10,5 out of 10,2 out of 10,2 out of 10,5 out of 10,9 out of 10,3 out of 10,0 out of 10
380102,2014,0 out of 10,4 out of 10,0 out of 10,0 out of 10,0 out of 10,6 out of 10,0 out of 10,0 out of 10,0 out of 9,3 out of 9,0 out of 9,0 out of 9,0 out of 9,1 out of 9,0 out of 9,2 out of 9,0 out of 10,4 out of 10,0 out of 10,0 out of 10,0 out of 10,6 out of 10,0 out of 10,2 out of 10
380102,2015,0 out of 10,3 out of 10,0 out of 10,0 out of 10,0 out of 10,8 out of 10,0 out of 10,0 out of 10,0 out of 9,0 out of 9,0 out of 9,0 out of 9,0 out of 9,7 out of 9,2 out of 9,0 out of 9,0 out of 10,3 out of 10,0 out of 10,0 out of 10,0 out of 10,8 out of 10,2 out of 10,0 out of 10
380102,2016,0 out of 10,3 out of 10,0 out of 10,0 out of 10,0 out of 10,8 out of 10,0 out of 10,0 out of 10,0 out of 9,0 out of 9,0 out of 9,0 out of 9,0 out of 9,7 out of 9,2 out of 9,0 out of 9,0 out of 10,3 out of 10,0 out of 10,0 out of 10,0 out of 10,8 out of 10,2 out of 10,0 out of 10
380103,2014,3 out of 10,9 out of 10,5 out of 10,8 out of 10,5 out of 10,10 out of 10,6 out of 10,4 out of 10,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3 out of 10,9 out of 10,5 out of 10,8 out of 10,5 out of 10,10 out of 10,6 out of 10,4 out of 10
380103,2015,3 out of 10,10 out of 10,3 out of 10,7 out of 10,5 out of 10,10 out of 10,6 out of 10,4 out of 10,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3 out of 10,10 out of 10,3 out of 10,7 out of 10,5 out of 10,10 out of 10,6 out of 10,4 out of 10
380103,2016,3 out of 10,10 out of 10,3 out of 10,7 out of 10,5 out of 10,10 out of 10,6 out of 10,4 out of 10,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3 out of 10,10 out of 10,3 out of 10,7 out of 10,5 out of 10,10 out of 10,6 out of 10,4 out of 10
390001,2013,0 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,1 out of 10,0 out of 10,1 out of 10,0 out of 9,0 out of 9,0 out of 9,0 out of 9,0 out of 9,1 out of 9,1 out of 9,0 out of 9,0 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,1 out of 10,1 out of 10,1 out of 10
390001,2014,0 out of 10,0 out of 10,0 out of 10,0 out of 10,1 out of 10,2 out of 10,0 out of 10,1 out of 10,1 out of 9,0 out of 9,2 out of 9,1 out of 9,2 out of 9,3 out of 9,2 out of 9,1 out of 9,1 out of 10,0 out of 10,2 out of 10,1 out of 10,2 out of 10,3 out of 10,2 out of 10,1 out of 10
390001,2015,0 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,1 out of 10,0 out of 10,0 out of 10,0 out of 9,0 out of 9,1 out of 9,0 out of 9,1 out of 9,3 out of 9,0 out of 9,0 out of 9,0 out of 10,0 out of 10,1 out of 10,0 out of 10,1 out of 10,3 out of 10,0 out of 10,0 out of 10
390001,2016,0 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,1 out of 10,0 out of 10,0 out of 10,0 out of 9,0 out of 9,1 out of 9,0 out of 9,1 out of 9,3 out of 9,0 out of 9,0 out of 9,0 out of 10,0 out of 10,1 out of 10,0 out of 10,1 out of 10,3 out of 10,0 out of 10,0 out of 10
390002,2013,0 out of 10,0 out of 10,0 out of 10,0 out of 10,1 out of 10,2 out of 10,1 out of 10,0 out of 10,0 out of 9,0 out of 9,0 out of 9,1 out of 9,0 out of 9,3 out of 9,1 out of 9,0 out of 9,0 out of 10,0 out of 10,0 out of 10,1 out of 10,1 out of 10,3 out of 10,1 out of 10,0 out of 10
390002,2014,0 out of 10,0 out of 10,3 out of 10,1 out of 10,3 out of 10,3 out of 10,3 out of 10,2 out of 10,2 out of 9,2 out of 9,5 out of 9,3 out of 9,4 out of 9,3 out of 9,5 out of 9,3 out of 9,2 out of 10,2 out of 10,5 out of 10,3 out of 10,4 out of 10,3 out of 10,5 out of 10,3 out of 10
390002,2015,0 out of 10,0 out of 10,0 out of 10,0 out of 10,1 out of 10,2 out of 10,1 out of 10,1 out of 10,1 out of 9,1 out of 9,0 out of 9,1 out of 9,1 out of 9,1 out of 9,0 out of 9,0 out of 9,1 out of 10,1 out of 10,0 out of 10,1 out of 10,1 out of 10,2 out of 10,1 out of 10,1 out of 10
390002,2016,0 out of 10,0 out of 10,0 out of 10,0 out of 10,1 out of 10,2 out of 10,1 out of 10,1 out of 10,1 out of 9,1 out of 9,0 out of 9,1 out of 9,1 out of 9,1 out of 9,0 out of 9,0 out of 9,1 out of 10,1 out of 10,0 out of 10,1 out of 10,1 out of 10,2 out of 10,1 out of 10,1 out of 10
390003,2013,0 out of 10,1 out of 10,0 out of 10,0 out of 10,7 out of 10,0 out of 10,0 out of 10,6 out of 10,1 out of 9,0 out of 9,0 out of 9,0 out of 9,4 out of 9,2 out of 9,0 out of 9,3 out of 9,1 out of 10,1 out of 10,0 out of 10,0 out of 10,7 out of 10,2 out of 10,0 out of 10,6 out of 10
390003,2014,0 out of 10,0 out of 10,0 out of 10,1 out of 10,6 out of 10,1 out of 10,0 out of 10,8 out of 10,0 out of 9,0 out of 9,1 out of 9,1 out of 9,0 out of 9,4 out of 9,0 out of 9,7 out of 9,0 out of 10,0 out of 10,1 out of 10,1 out of 10,6 out of 10,4 out of 10,0 out of 10,8 out of 10
390003,2015,1 out of 10,0 out of 10,1 out of 10,0 out of 10,1 out of 10,5 out of 10,0 out of 10,5 out of 10,3 out of 9,0 out of 9,0 out of 9,2 out of 9,0 out of 9,6 out of 9,3 out of 9,0 out of 9,3 out of 10,0 out of 10,1 out of 10,2 out of 10,1 out of 10,6 out of 10,3 out of 10,5 out of 10
390003,2016,1 out of 10,0 out of 10,1 out of 10,0 out of 10,1 out of 10,5 out of 10,0 out of 10,5 out of 10,3 out of 9,0 out of 9,0 out of 9,2 out of 9,0 out of 9,6 out of 9,3 out of 9,0 out of 9,3 out of 10,0 out of 10,1 out of 10,2 out of 10,1 out of 10,6 out of 10,3 out of 10,5 out of 10
390004,2013,0 out of 10,3 out of 10,2 out of 10,0 out of 10,4 out of 10,0 out of 10,2 out of 10,2 out of 10,1 out of 9,3 out of 9,3 out of 9,2 out of 9,5 out of 9,3 out of 9,3 out of 9,3 out of 9,1 out of 10,3 out of 10,3 out of 10,2 out of 10,5 out of 10,3 out of 10,3 out of 10,3 out of 10
390004,2014,0 out of 10,1 out of 10,0 out of 10,0 out of 10,3 out of 10,5 out of 10,0 out of 10,0 out of 10,0 out of 9,1 out of 9,0 out of 9,0 out of 9,0 out of 9,6 out of 9,1 out of 9,0 out of 9,0 out of 10,1 out of 10,0 out of 10,0 out of 10,3 out of 10,6 out of 10,1 out of 10,0 out of 10
390004,2015,0 out of 10,1 out of 10,0 out of 10,0 out of 10,2 out of 10,8 out of 10,0 out of 10,0 out of 10,1 out of 9,0 out of 9,0 out of 9,0 out of 9,0 out of 9,8 out of 9,0 out of 9,0 out of 9,1 out of 10,1 out of 10,0 out of 10,0 out of 10,2 out of 10,8 out of 10,0 out of 10,0 out of 10
390004,2016,0 out of 10,1 out of 10,0 out of 10,0 out of 10,2 out of 10,8 out of 10,0 out of 10,0 out of 10,1 out of 9,0 out of 9,0 out of 9,0 out of 9,0 out of 9,8 out of 9,0 out of 9,0 out of 9,1 out of 10,1 out of 10,0 out of 10,0 out of 10,2 out of 10,8 out of 10,0 out of 10,0 out of 10
390006,2013,1 out of 10,7 out of 10,0 out of 10,0 out of 10,6 out of 10,9 out of 10,5 out of 10,7 out of 10,1 out of 9,5 out of 9,0 out of 9,1 out of 9,4 out of 9,9 out of 9,3 out of 9,5 out of 9,1 out of 10,7 out of 10,0 out of 10,1 out of 10,6 out of 10,9 out of 10,5 out of 10,7 out of 10
390006,2014,0 out of 10,5 out of 10,2 out of 10,1 out of 10,6 out of 10,9 out of 10,2 out of 10,5 out of 10,1 out of 9,0 out of 9,3 out of 9,1 out of 9,3 out of 9,0 out of 9,0 out of 9,2 out of 9,1 out of 10,5 out of 10,3 out of 10,1 out of 10,6 out of 10,9 out of 10,2 out of 10,5 out of 10
