ProviderId,DataYear,MId_60_PTId_7_ProcedureVolume,MId_60_PTId_1_ProcedureVolume,MId_60_PTId_4_ProcedureVolume,MId_60_PTId_2_ProcedureVolume,MId_60_PTId_5_ProcedureVolume,MId_60_PTId_8_ProcedureVolume,MId_60_PTId_9_ProcedureVolume,MId_60_PTId_3_ProcedureVolume,MId_60_PTId_6_ProcedureVolume
010056,2016,283,599,739,0,5464,206,766,12709,11523
010058,2014,NULL,0,0,0,0,NULL,0,0,0
010058,2015,0,0,0,0,0,0,0,0,0
010058,2016,0,0,0,0,0,0,0,0,0
010059,2014,NULL,7,0,0,5,NULL,153,636,0
010059,2015,26,0,0,0,0,3,104,404,0
010059,2016,1,0,0,0,84,0,439,469,0
010061,2014,NULL,29,127,196,124,NULL,68,1920,0
010061,2015,0,18,137,213,70,0,43,1925,99
010061,2016,1,28,126,143,45,0,42,1217,113
010062,2014,NULL,12,0,0,3,NULL,65,402,45
010062,2015,186,0,36,0,0,51,333,766,0
010062,2016,350,0,0,0,0,6,71,563,0
010065,2014,NULL,270,318,529,274,NULL,75,1959,220
010065,2015,18,140,379,702,310,3,41,978,239
010065,2016,14,140,313,658,308,72,62,1958,309
010069,2014,NULL,7,153,1,15,NULL,49,653,4
010069,2015,0,2,51,0,3,0,167,178,15
010069,2016,64,0,60,2,0,0,74,480,0
010073,2014,NULL,0,0,111,2,NULL,2,360,0
010073,2015,0,1,0,115,3,0,8,174,0
010073,2016,1,2,0,121,0,3,8,342,0
010078,2014,NULL,502,1298,234,107,NULL,182,3236,286
010078,2015,111,1243,661,461,701,90,1319,1502,288
010078,2016,67,505,1249,669,325,69,737,1542,485
010079,2014,NULL,26,80,390,210,NULL,30,2002,76
010079,2015,29,52,105,335,338,8,43,1142,150
010079,2016,24,54,230,347,583,13,128,1928,383
010083,2014,NULL,416,667,300,1426,NULL,1197,6124,2880
010083,2015,0,170,552,277,1614,0,2773,3766,865
010083,2016,0,170,552,277,1614,0,2773,3766,865
010085,2014,NULL,217,298,0,434,NULL,1273,703,1
010085,2015,0,307,1563,32,952,241,2377,1264,81
010085,2016,0,336,2060,23,1076,191,2402,1240,140
010086,2014,NULL,4,3,0,8,NULL,0,20,2
010086,2015,2,71,44,243,169,0,2059,458,13
010086,2016,14,86,221,297,77,11,39,870,20
010087,2014,NULL,199,0,0,342,NULL,6,1,18
010087,2015,393,181,0,0,411,0,0,54,16
010087,2016,27,203,0,0,227,34,105,2653,329
010089,2014,NULL,67,389,817,685,NULL,10,3295,3857
010089,2015,221,61,385,953,695,2,20,3415,3524
010089,2016,88,95,431,1068,698,1,16,3273,3628
010090,2014,NULL,316,960,1123,1093,NULL,1896,6007,2034
010090,2015,124,379,931,1171,425,36,106,4455,1728
010090,2016,123,209,700,1324,661,71,270,7003,1848
010091,2014,NULL,39,40,0,9,NULL,272,757,3
010091,2015,1,2,0,0,0,0,16,489,0
010091,2016,0,0,0,0,0,0,0,976,0
010092,2014,NULL,1685,954,105,2853,NULL,3640,5193,12168
010092,2015,137,2070,1139,96,3147,155,23566,2978,8574
010092,2016,202,2177,1066,100,1987,377,7021,3182,1436
010095,2014,NULL,0,0,0,0,NULL,0,0,0
010095,2015,0,0,0,0,0,0,0,0,0
010095,2016,0,0,0,0,0,0,0,0,0
010097,2014,NULL,0,36,101,245,NULL,0,377,0
010097,2015,0,0,31,92,29,1,31,45,3
010097,2016,0,0,24,62,19,5,17,146,0
010099,2014,NULL,52,83,0,3,NULL,529,676,0
010099,2015,7,39,19,0,33,1,43,258,6
010099,2016,8,56,18,0,23,1,458,333,7
010100,2014,NULL,82,347,122,6,NULL,66,3998,895
010100,2015,56,170,367,332,1139,36,87,1382,1469
010100,2016,113,147,275,251,1368,62,145,4200,1858
010101,2014,NULL,15,63,442,78,NULL,26,1953,574
010101,2015,80,16,61,450,91,1,57,1949,522
010101,2016,65,23,48,303,91,2,15,2093,478
010102,2014,NULL,0,0,0,0,NULL,0,0,0
010102,2015,0,0,0,0,0,0,0,0,0
010102,2016,0,0,0,0,0,0,0,0,0
010103,2014,NULL,858,116,1032,870,NULL,355,5634,1896
010103,2015,984,432,165,1066,503,84,253,5601,1544
010103,2016,358,432,153,1157,675,92,200,5562,1251
010104,2014,NULL,319,719,298,2200,NULL,1033,2477,2294
010104,2015,83,205,847,360,1781,66,1237,1165,1720
010104,2016,102,129,239,382,1684,268,3073,2135,2091
010108,2014,NULL,34,3,498,39,NULL,18,1839,0
010108,2015,1,28,0,447,28,0,13,1831,2
010108,2016,7,28,1,399,39,0,32,2498,1
010109,2014,NULL,0,0,0,0,NULL,0,378,0
010109,2015,2,1,0,0,1,0,11,50,0
010109,2016,0,0,0,0,0,0,0,24,0
010110,2014,NULL,0,0,0,0,NULL,0,0,0
010110,2015,0,0,0,0,0,0,0,0,0
010110,2016,0,0,0,0,0,0,0,0,0
010112,2014,NULL,80,244,168,324,NULL,1780,480,0
010112,2015,57,21,99,157,121,0,238,513,87
010112,2016,51,22,79,168,123,0,254,533,34
010113,2014,NULL,1255,803,1,590,NULL,134,9803,4152
010113,2015,223,1091,965,197,385,50,205,5002,4017
010113,2016,223,678,585,380,433,387,265,9970,4333
010114,2014,NULL,378,452,411,1076,NULL,2076,4476,1599
010114,2015,28,804,117,922,371,15,653,2376,666
010114,2016,15,129,101,979,647,12,717,2263,167
010118,2014,NULL,177,146,243,108,NULL,41,1189,3
010118,2015,1,217,180,204,104,12,304,589,51
010118,2016,6,182,274,268,106,44,63,1171,39
010120,2014,NULL,0,22,37,0,NULL,10,1012,0
010120,2015,122,0,0,31,6,0,9,954,0
010120,2016,150,0,9,0,10,1,7,1033,0
010125,2014,NULL,17,41,118,104,NULL,261,306,3
010125,2015,0,6,0,83,1,0,46,210,1
010125,2016,0,2,0,0,0,0,4,161,0
010126,2014,NULL,20,102,0,106,NULL,17,1657,173
010126,2015,1,20,73,0,103,1,468,1404,240
010126,2016,0,36,36,0,105,0,29,1305,273
010128,2014,NULL,0,0,15,0,NULL,0,0,0
010128,2015,0,0,0,0,0,0,0,0,0
010128,2016,0,0,0,22,0,0,0,20,0
010129,2014,NULL,14,23,146,63,NULL,29,666,285
010129,2015,15,27,19,115,52,0,37,447,157
010129,2016,14,41,30,68,64,2,28,679,124
010130,2014,NULL,103,20,62,169,NULL,51,1171,550
010130,2015,7,54,3,76,75,0,669,785,41
010130,2016,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
010131,2014,NULL,230,820,4,2985,NULL,2093,7411,3103
010131,2015,99,38,385,0,1637,23,1845,4274,3091
010131,2016,95,223,400,0,1611,76,1614,6790,3554
010138,2014,NULL,0,0,0,0,NULL,0,0,0
010138,2015,0,0,0,0,0,0,0,0,0
010138,2016,0,0,0,0,0,0,0,0,0
010139,2014,NULL,796,1722,484,3022,NULL,4067,2992,6198
010139,2015,183,750,1579,634,2205,60,3823,2036,3987
010139,2016,252,666,1309,516,2205,196,2427,2748,3291
010144,2014,NULL,457,806,0,453,NULL,432,4551,469
010144,2015,509,280,812,0,335,0,389,3495,397
010144,2016,0,726,692,0,142,15,1353,2260,544
010146,2014,NULL,0,89,120,73,NULL,16,402,231
010146,2015,328,0,59,109,183,0,63,326,0
010146,2016,1089,0,58,123,57,0,26,381,0
010148,2014,NULL,0,4,0,27,NULL,79,451,0
010148,2015,0,0,0,2,2,0,0,179,46
010148,2016,0,6,0,0,1,0,6,253,123
010149,2014,NULL,120,215,5,197,NULL,37,9217,0
010149,2015,13,105,222,0,168,1,27,4429,20
010149,2016,14,104,186,0,102,5,111,8405,18
010150,2014,NULL,0,6,0,301,NULL,46,666,0
010150,2015,0,2,0,0,177,0,402,511,29
010150,2016,2,5,23,62,115,0,19,796,22
010157,2014,NULL,51,29,0,68,NULL,20,2704,97
010157,2015,21,0,18,0,198,0,24,1805,33
010157,2016,22,48,78,0,33,9,47,2497,39
010158,2014,NULL,22,123,91,522,NULL,419,575,136
010158,2015,3,17,5,155,188,0,57,461,155
010158,2016,12,40,144,188,287,0,66,882,164
010164,2014,NULL,49,166,413,215,NULL,43,160,7
010164,2015,1,65,159,403,431,0,672,562,6
010164,2016,2,65,205,441,293,0,689,1590,117
010168,2014,NULL,0,0,0,3078,NULL,0,264,0
010168,2015,0,0,0,0,3231,0,0,357,0
010168,2016,0,0,0,0,411,0,272,66,157
010169,2014,NULL,48,18,0,12,NULL,11,849,73
010169,2015,3,12,6,0,3,1,11,506,45
010169,2016,3,24,11,0,2,4,13,783,48
011300,2014,NULL,0,0,0,0,NULL,0,0,0
011300,2015,0,0,0,0,0,0,0,0,0
011300,2016,0,0,0,0,0,0,0,0,0
011302,2014,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available
011302,2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
011302,2016,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
011304,2014,NULL,0,0,0,0,NULL,0,0,0
011304,2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
011304,2016,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
011305,2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
011305,2016,280,175,51,0,112,0,0,342,0
020001,2014,NULL,101,331,625,388,NULL,291,2902,0
020001,2015,223,85,386,642,268,0,304,2890,16
020001,2016,234,113,384,554,332,56,340,2913,29
020006,2014,NULL,80,180,449,384,NULL,43,2568,6
020006,2015,8,382,199,404,298,17,120,2826,0
020006,2016,25,165,736,429,404,76,91,3615,116
020008,2014,NULL,9,107,25,365,NULL,23,1044,89
020008,2015,2,12,129,40,259,0,3,720,86
020008,2016,13,25,109,22,203,1,3,793,79
020012,2014,NULL,150,241,545,497,NULL,142,3365,1672
020012,2015,579,125,159,604,535,0,164,3792,1772
020012,2016,29,239,178,619,567,24,294,2509,733
020017,2014,NULL,183,148,282,655,NULL,25,1489,37
020017,2015,437,185,219,418,537,0,39,1794,28
020017,2016,50,221,160,435,316,71,57,1824,38
020024,2014,NULL,29,86,188,362,NULL,17,976,547
020024,2015,0,39,82,177,382,5,15,937,461
