ProviderId,DataYear,PAYM_30_AMI_Payment,PAYM_30_HF_Payment,PAYM_30_PN_Payment,PAYM_30_AMI_LowerEstimate,PAYM_30_HF_LowerEstimate,PAYM_30_PN_LowerEstimate,PAYM_30_AMI_HigherEstimate,PAYM_30_HF_HigherEstimate,PAYM_30_PN_HigherEstimate,PAYM_30_AMI_Denominator,PAYM_30_HF_Denominator,PAYM_30_PN_Denominator,PAYM_30_AMI_NationalComparisonCategory,PAYM_30_HF_NationalComparisonCategory,PAYM_30_PN_NationalComparisonCategory
450558,2015,"$21,028","$16,035","$14,540","$19,153","$14,662","$13,276","$23,116","$17,618","$15,750",167,189,194,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
450563,2015,"$21,485","$17,454","$14,957","$19,524","$16,082","$13,941","$23,422","$18,887","$16,058",166,261,293,No Different than the National Average Payment,Greater than the National Average Payment,No Different than the National Average Payment
450143,2016,Not Available,"$14,453","$14,819",Not Available,"$12,360","$12,712",Not Available,"$16,848","$16,856",Not Available,33,54,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
450144,2016,Not Available,Not Available,"$13,414",Not Available,Not Available,"$11,218",Not Available,Not Available,"$15,581",Not Available,Not Available,44,Number of Cases Too Small,Number of Cases Too Small,No Different than the National Average Payment
450147,2014,18594,NULL,NULL,17213,NULL,NULL,20163,NULL,NULL,211,NULL,NULL,Less than the National Average Payment,NULL,NULL
450148,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
450152,2015,"$22,947","$14,571","$14,059","$20,506","$13,396","$12,730","$25,758","$15,776","$15,333",105,242,143,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
450154,2015,"$21,210","$13,232","$12,570","$18,446","$11,958","$11,199","$24,393","$14,706","$13,945",52,147,92,No Different than the National Average Payment,Less than the National Average Payment,Less than the National Average Payment
450155,2016,Not Available,"$15,217","$15,168",Not Available,"$13,001","$13,128",Not Available,"$17,655","$17,234",Not Available,34,57,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
450162,2016,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small
450165,2015,Not Available,"$13,663","$14,190",Not Available,"$11,882","$12,810",Not Available,"$15,667","$15,558",Not Available,62,143,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
450176,2016,"$25,495","$17,513","$15,398","$23,087","$16,268","$14,452","$28,336","$18,926","$16,322",154,275,382,Greater than the National Average Payment,Greater than the National Average Payment,No Different than the National Average Payment
450187,2016,"$20,802","$14,284","$13,152","$18,272","$12,747","$11,920","$23,739","$15,983","$14,469",33,102,160,No Different than the National Average Payment,No Different than the National Average Payment,Less than the National Average Payment
450192,2016,Not Available,"$13,618","$13,837",Not Available,"$12,032","$12,355",Not Available,"$15,426","$15,377",Not Available,73,110,Number of Cases Too Small,Less than the National Average Payment,No Different than the National Average Payment
