ProviderId,DataYear,PAYM_30_AMI_Payment,PAYM_30_HF_Payment,PAYM_30_PN_Payment,PAYM_30_AMI_LowerEstimate,PAYM_30_HF_LowerEstimate,PAYM_30_PN_LowerEstimate,PAYM_30_AMI_HigherEstimate,PAYM_30_HF_HigherEstimate,PAYM_30_PN_HigherEstimate,PAYM_30_AMI_Denominator,PAYM_30_HF_Denominator,PAYM_30_PN_Denominator,PAYM_30_AMI_NationalComparisonCategory,PAYM_30_HF_NationalComparisonCategory,PAYM_30_PN_NationalComparisonCategory
010001,2015,"$21,376","$14,740","$15,263","$20,320","$14,029","$14,285","$22,521","$15,533","$16,295",681,733,367,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010006,2014,20297,NULL,NULL,18894,NULL,NULL,21837,NULL,NULL,290,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010007,2016,Not Available,"$13,676","$12,844",Not Available,"$12,073","$11,589",Not Available,"$15,326","$14,060",Not Available,93,170,Number of Cases Too Small,Less than the National Average Payment,Less than the National Average Payment
010008,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010011,2014,21477,NULL,NULL,19815,NULL,NULL,23264,NULL,NULL,234,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010016,2014,20919,NULL,NULL,19284,NULL,NULL,22792,NULL,NULL,210,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010019,2015,"$21,489","$15,801","$13,894","$18,455","$14,671","$12,955","$25,259","$17,061","$14,888",29,311,344,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010021,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010022,2015,Not Available,"$15,281","$12,134",Not Available,"$12,939","$10,810",Not Available,"$17,941","$13,396",Not Available,31,108,Number of Cases Too Small,No Different than the National Average Payment,Less than the National Average Payment
010024,2015,"$24,105","$16,242","$14,039","$22,164","$15,237","$13,133","$26,283","$17,273","$14,961",243,459,347,Greater than the National Average Payment,Greater than the National Average Payment,No Different than the National Average Payment
010029,2015,"$21,744","$13,859","$12,773","$20,171","$13,100","$11,916","$23,400","$14,654","$13,654",271,540,302,No Different than the National Average Payment,Less than the National Average Payment,Less than the National Average Payment
010033,2015,"$20,233","$14,736","$14,840","$18,821","$13,861","$13,951","$21,810","$15,682","$15,723",271,466,417,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010034,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010036,2016,Not Available,"$13,543","$12,546",Not Available,"$12,326","$11,556",Not Available,"$14,948","$13,509",Not Available,157,249,Number of Cases Too Small,Less than the National Average Payment,Less than the National Average Payment
010038,2016,"$23,782","$17,081","$13,727","$21,071","$15,420","$12,499","$26,940","$18,961","$14,973",68,140,170,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010039,2015,"$20,858","$16,212","$15,002","$20,022","$15,648","$14,402","$21,731","$16,830","$15,630","1,067","1,406",906,Less than the National Average Payment,Greater than the National Average Payment,Greater than the National Average Payment
010044,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010045,2016,Not Available,"$13,499","$12,820",Not Available,"$11,917","$11,614",Not Available,"$15,240","$14,005",Not Available,79,161,Number of Cases Too Small,Less than the National Average Payment,Less than the National Average Payment
010046,2016,"$23,847","$16,296","$15,639","$21,069","$15,036","$14,375","$26,883","$17,593","$16,923",75,262,239,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010049,2015,Not Available,"$13,116","$12,023",Not Available,"$11,688","$10,885",Not Available,"$14,715","$13,172",Not Available,110,156,Number of Cases Too Small,Less than the National Average Payment,Less than the National Average Payment
010051,2016,Not Available,"$13,706","$14,090",Not Available,"$11,837","$11,687",Not Available,"$15,920","$16,546",Not Available,42,25,Number of Cases Too Small,Less than the National Average Payment,No Different than the National Average Payment
010052,2015,Not Available,"$12,676","$11,848",Not Available,"$10,626","$10,577",Not Available,"$15,140","$13,248",Not Available,27,96,Number of Cases Too Small,Less than the National Average Payment,Less than the National Average Payment
010056,2015,"$22,788","$14,892","$15,268","$21,139","$13,946","$14,449","$24,534","$15,875","$16,132",276,422,515,No Different than the National Average Payment,No Different than the National Average Payment,Greater than the National Average Payment
010058,2016,Not Available,Not Available,"$13,558",Not Available,Not Available,"$11,896",Not Available,Not Available,"$15,322",Not Available,Not Available,77,Number of Cases Too Small,Number of Cases Too Small,No Different than the National Average Payment
010059,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010061,2015,Not Available,"$12,554","$12,409",Not Available,"$11,321","$11,491",Not Available,"$13,988","$13,324",Not Available,128,273,Number of Cases Too Small,Less than the National Average Payment,Less than the National Average Payment
010001,2016,"$21,804","$15,659","$15,089","$20,744","$14,884","$14,133","$22,932","$16,446","$16,018",707,754,404,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010005,2014,20614,NULL,NULL,17854,NULL,NULL,23776,NULL,NULL,40,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010006,2015,"$20,247","$14,784","$14,018","$18,856","$14,027","$13,344","$21,735","$15,608","$14,706",303,631,675,Less than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010007,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010008,2016,Not Available,"$15,274","$14,482",Not Available,"$13,072","$12,600",Not Available,"$18,082","$16,435",Not Available,25,61,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
010012,2016,"$22,997","$16,722","$15,449","$20,910","$15,113","$14,119","$25,353","$18,491","$16,795",143,145,193,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010016,2015,"$21,268","$15,281","$14,494","$19,589","$14,166","$13,482","$23,114","$16,425","$15,496",207,313,317,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010018,2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
010021,2016,Not Available,"$17,053","$14,645",Not Available,"$15,075","$13,214",Not Available,"$19,308","$16,113",Not Available,83,126,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
010023,2015,"$21,168","$17,255","$14,480","$19,582","$16,134","$13,161","$22,817","$18,381","$15,773",270,408,156,No Different than the National Average Payment,Greater than the National Average Payment,No Different than the National Average Payment
010024,2016,"$24,344","$16,363","$14,629","$22,409","$15,366","$13,716","$26,404","$17,346","$15,492",249,455,421,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010029,2014,21642,NULL,NULL,19971,NULL,NULL,23267,NULL,NULL,263,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010032,2015,Not Available,"$13,952","$12,862",Not Available,"$11,937","$11,317",Not Available,"$16,244","$14,395",Not Available,39,90,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
010034,2015,Not Available,"$13,643","$13,925",Not Available,"$12,187","$12,399",Not Available,"$15,432","$15,430",Not Available,92,104,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
010035,2014,20483,NULL,NULL,18325,NULL,NULL,22850,NULL,NULL,95,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010036,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010039,2016,"$21,662","$16,255","$14,820","$20,789","$15,690","$14,240","$22,609","$16,818","$15,428","1,031","1,431",960,Less than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010040,2014,22175,NULL,NULL,20414,NULL,NULL,24056,NULL,NULL,204,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010044,2016,Not Available,"$13,920","$12,616",Not Available,"$11,932","$11,221",Not Available,"$16,213","$14,015",Not Available,32,117,Number of Cases Too Small,No Different than the National Average Payment,Less than the National Average Payment
010045,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010046,2015,"$24,780","$15,800","$16,032","$21,941","$14,646","$14,826","$27,941","$17,023","$17,175",89,307,272,Greater than the National Average Payment,No Different than the National Average Payment,Greater than the National Average Payment
010047,2016,Not Available,Not Available,"$13,337",Not Available,Not Available,"$11,859",Not Available,Not Available,"$14,817",Not Available,Not Available,104,Number of Cases Too Small,Number of Cases Too Small,No Different than the National Average Payment
010052,2016,Not Available,"$14,111","$12,522",Not Available,"$12,023","$11,087",Not Available,"$16,633","$14,022",Not Available,26,97,Number of Cases Too Small,No Different than the National Average Payment,Less than the National Average Payment
010054,2014,21641,NULL,NULL,18713,NULL,NULL,25040,NULL,NULL,38,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010055,2015,"$21,178","$14,830","$14,438","$19,774","$13,935","$13,585","$22,606","$15,761","$15,278",332,452,411,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010058,2015,Not Available,Not Available,"$12,951",Not Available,Not Available,"$11,194",Not Available,Not Available,"$14,813",Not Available,Not Available,62,Number of Cases Too Small,Number of Cases Too Small,No Different than the National Average Payment
010005,2016,"$23,171","$16,376","$14,384","$20,404","$15,237","$13,642","$26,226","$17,547","$15,118",53,347,646,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010006,2016,"$20,946","$14,880","$15,066","$19,641","$14,137","$14,310","$22,399","$15,672","$15,811",353,670,660,Less than the National Average Payment,Less than the National Average Payment,No Different than the National Average Payment
010011,2015,"$21,921","$16,387","$15,418","$20,191","$15,133","$14,525","$23,744","$17,662","$16,299",237,271,474,No Different than the National Average Payment,No Different than the National Average Payment,Greater than the National Average Payment
010012,2014,19101,NULL,NULL,17234,NULL,NULL,21243,NULL,NULL,107,NULL,NULL,Less than the National Average Payment,NULL,NULL
010016,2016,"$21,663","$15,445","$14,399","$19,964","$14,410","$13,416","$23,501","$16,513","$15,387",198,368,308,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010018,2016,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
010019,2016,"$21,431","$16,066","$14,819","$18,639","$14,927","$13,768","$24,624","$17,194","$15,826",33,344,329,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010022,2016,Not Available,"$16,913","$12,981",Not Available,"$14,535","$11,530",Not Available,"$19,817","$14,466",Not Available,32,103,Number of Cases Too Small,No Different than the National Average Payment,Less than the National Average Payment
010023,2016,"$22,358","$16,991","$15,736","$20,769","$15,938","$14,339","$23,986","$18,121","$17,172",290,414,160,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010032,2016,Not Available,"$16,649","$13,168",Not Available,"$14,390","$11,474",Not Available,"$19,228","$14,876",Not Available,45,70,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
010033,2016,"$20,470","$15,680","$14,671","$19,117","$14,799","$13,736","$21,883","$16,613","$15,566",330,530,409,Less than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010034,2016,Not Available,"$15,038","$14,590",Not Available,"$13,337","$12,919",Not Available,"$16,800","$16,198",Not Available,98,98,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
010035,2016,"$21,517","$15,298","$14,879","$19,275","$14,338","$13,899","$23,872","$16,297","$15,864",101,432,363,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010036,2015,Not Available,"$13,853","$11,471",Not Available,"$12,507","$10,582",Not Available,"$15,371","$12,387",Not Available,139,231,Number of Cases Too Small,No Different than the National Average Payment,Less than the National Average Payment
010038,2015,"$21,939","$15,924","$14,823","$19,309","$14,314","$13,506","$25,075","$17,659","$16,114",59,143,181,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010040,2016,"$22,005","$16,960","$14,869","$20,207","$15,936","$14,065","$23,946","$18,031","$15,647",195,443,549,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010044,2015,Not Available,"$13,517","$11,748",Not Available,"$11,343","$10,512",Not Available,"$15,996","$12,979",Not Available,28,131,Number of Cases Too Small,No Different than the National Average Payment,Less than the National Average Payment
010045,2015,Not Available,"$12,653","$12,679",Not Available,"$11,199","$11,438",Not Available,"$14,330","$13,905",Not Available,86,154,Number of Cases Too Small,Less than the National Average Payment,Less than the National Average Payment
010046,2014,23098,NULL,NULL,20507,NULL,NULL,25904,NULL,NULL,97,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010047,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010049,2014,21675,NULL,NULL,18362,NULL,NULL,25381,NULL,NULL,25,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010051,2015,Not Available,"$11,665",Not Available,Not Available,"$10,036",Not Available,Not Available,"$13,637",Not Available,Not Available,41,Not Available,Number of Cases Too Small,Less than the National Average Payment,Number of Cases Too Small
010055,2016,"$21,288","$14,349","$14,171","$19,880","$13,464","$13,285","$22,765","$15,250","$15,029",338,456,416,No Different than the National Average Payment,Less than the National Average Payment,No Different than the National Average Payment
010056,2016,"$23,527","$16,221","$15,224","$21,651","$15,290","$14,395","$25,528","$17,319","$16,136",250,423,499,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010058,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010001,2014,21423,NULL,NULL,20362,NULL,NULL,22606,NULL,NULL,642,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010005,2015,"$21,601","$15,087","$14,199","$18,804","$14,044","$13,504","$24,801","$16,191","$14,906",49,326,631,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010007,2015,Not Available,"$12,799","$12,131",Not Available,"$11,333","$10,954",Not Available,"$14,418","$13,281",Not Available,99,156,Number of Cases Too Small,Less than the National Average Payment,Less than the National Average Payment
010008,2015,Not Available,"$14,275","$13,821",Not Available,"$12,056","$11,919",Not Available,"$16,720","$15,759",Not Available,32,56,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
010011,2016,"$22,720","$15,686","$15,654","$20,938","$14,597","$14,745","$24,690","$16,937","$16,573",240,304,454,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010012,2015,"$20,284","$16,488","$13,969","$18,221","$14,859","$12,839","$22,625","$18,381","$15,149",104,136,213,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010018,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL
010019,2014,20553,NULL,NULL,17890,NULL,NULL,23519,NULL,NULL,45,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010021,2015,Not Available,"$14,691","$14,003",Not Available,"$12,810","$12,576",Not Available,"$16,944","$15,495",Not Available,70,124,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
010022,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010023,2014,20589,NULL,NULL,19071,NULL,NULL,22173,NULL,NULL,283,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010024,2014,22804,NULL,NULL,21048,NULL,NULL,24695,NULL,NULL,243,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010029,2016,"$21,940","$13,941","$13,196","$20,332","$13,206","$12,344","$23,699","$14,736","$14,058",259,582,343,No Different than the National Average Payment,Less than the National Average Payment,Less than the National Average Payment
010032,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010033,2014,21149,NULL,NULL,19548,NULL,NULL,22870,NULL,NULL,242,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010035,2015,"$19,803","$14,371","$14,791","$17,745","$13,406","$13,843","$22,105","$15,355","$15,695",94,400,383,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010038,2014,21248,NULL,NULL,18761,NULL,NULL,24320,NULL,NULL,60,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010039,2014,20804,NULL,NULL,19945,NULL,NULL,21680,NULL,NULL,1035,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010040,2015,"$21,005","$16,972","$15,186","$19,257","$15,848","$14,323","$22,913","$18,082","$15,996",184,399,527,No Different than the National Average Payment,Greater than the National Average Payment,Greater than the National Average Payment
010047,2015,Not Available,Not Available,"$12,223",Not Available,Not Available,"$10,933",Not Available,Not Available,"$13,590",Not Available,Not Available,105,Number of Cases Too Small,Number of Cases Too Small,Less than the National Average Payment
010049,2016,Not Available,"$13,581","$11,941",Not Available,"$12,171","$10,716",Not Available,"$15,186","$13,119",Not Available,112,140,Number of Cases Too Small,Less than the National Average Payment,Less than the National Average Payment
010051,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010052,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010055,2014,21619,NULL,NULL,20189,NULL,NULL,23161,NULL,NULL,329,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010056,2014,21876,NULL,NULL,20295,NULL,NULL,23632,NULL,NULL,255,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010059,2015,Not Available,"$14,300","$14,139",Not Available,"$12,367","$12,612",Not Available,"$16,585","$15,624",Not Available,52,119,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
010061,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010062,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010065,2014,23084,NULL,NULL,20101,NULL,NULL,26578,NULL,NULL,56,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010069,2015,Not Available,"$11,982","$12,792",Not Available,"$10,470","$11,364",Not Available,"$13,660","$14,228",Not Available,78,107,Number of Cases Too Small,Less than the National Average Payment,Less than the National Average Payment
010078,2014,23027,NULL,NULL,21579,NULL,NULL,24537,NULL,NULL,389,NULL,NULL,Greater than the National Average Payment,NULL,NULL
010062,2016,Not Available,"$13,970","$13,364",Not Available,"$12,346","$12,126",Not Available,"$15,752","$14,584",Not Available,77,171,Number of Cases Too Small,Less than the National Average Payment,Less than the National Average Payment
010065,2015,"$23,319","$18,080","$15,823","$20,342","$16,458","$14,448","$26,795","$19,831","$17,255",58,176,165,No Different than the National Average Payment,Greater than the National Average Payment,Greater than the National Average Payment
010069,2016,Not Available,"$13,369","$12,984",Not Available,"$11,822","$11,489",Not Available,"$15,162","$14,477",Not Available,76,100,Number of Cases Too Small,Less than the National Average Payment,Less than the National Average Payment
010073,2016,Not Available,"$14,274","$13,286",Not Available,"$12,424","$11,747",Not Available,"$16,320","$14,750",Not Available,58,104,Number of Cases Too Small,No Different than the National Average Payment,Less than the National Average Payment
010078,2015,"$24,327","$15,571","$14,560","$22,732","$14,650","$13,665","$26,049","$16,524","$15,489",374,499,380,Greater than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010079,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010083,2016,"$22,935","$15,032","$13,462","$20,609","$13,893","$12,491","$25,612","$16,244","$14,452",103,285,269,No Different than the National Average Payment,No Different than the National Average Payment,Less than the National Average Payment
010086,2015,"$21,460","$14,555","$12,961","$18,377","$12,682","$11,853","$25,069","$16,677","$14,050",27,74,219,No Different than the National Average Payment,No Different than the National Average Payment,Less than the National Average Payment
010087,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010089,2014,20070,NULL,NULL,17684,NULL,NULL,22847,NULL,NULL,65,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010091,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010092,2015,"$22,638","$15,586","$14,974","$21,306","$14,875","$14,376","$24,092","$16,333","$15,575",445,856,"1,029",No Different than the National Average Payment,No Different than the National Average Payment,Greater than the National Average Payment
010095,2016,Not Available,Not Available,"$14,777",Not Available,Not Available,"$12,860",Not Available,Not Available,"$16,884",Not Available,Not Available,57,Number of Cases Too Small,Number of Cases Too Small,No Different than the National Average Payment
010099,2015,"$20,567","$14,702","$12,589","$17,619","$12,893","$11,378","$23,747","$16,771","$13,802",32,72,160,No Different than the National Average Payment,No Different than the National Average Payment,Less than the National Average Payment
010101,2014,20994,NULL,NULL,17977,NULL,NULL,24518,NULL,NULL,28,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010102,2015,Not Available,Not Available,"$12,244",Not Available,Not Available,"$10,081",Not Available,Not Available,"$14,312",Not Available,Not Available,33,Number of Cases Too Small,Number of Cases Too Small,No Different than the National Average Payment
010103,2016,"$22,088","$16,150","$14,201","$20,422","$15,116","$13,141","$23,963","$17,292","$15,279",241,384,263,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010108,2014,22842,NULL,NULL,19686,NULL,NULL,26801,NULL,NULL,28,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010109,2015,Not Available,"$14,778","$14,600",Not Available,"$12,739","$12,901",Not Available,"$17,226","$16,283",Not Available,48,103,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
010110,2016,Not Available,"$14,870","$12,542",Not Available,"$12,668","$10,338",Not Available,"$17,564","$14,747",Not Available,26,31,Number of Cases Too Small,No Different than the National Average Payment,Less than the National Average Payment
010112,2015,Not Available,"$13,865","$12,024",Not Available,"$12,014","$10,660",Not Available,"$16,058","$13,409",Not Available,58,113,Number of Cases Too Small,No Different than the National Average Payment,Less than the National Average Payment
010113,2014,24626,NULL,NULL,22597,NULL,NULL,26762,NULL,NULL,249,NULL,NULL,Greater than the National Average Payment,NULL,NULL
010114,2015,"$20,534","$15,441","$15,193","$18,204","$13,978","$13,921","$23,161","$16,930","$16,458",64,162,195,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010118,2014,20424,NULL,NULL,18730,NULL,NULL,22386,NULL,NULL,163,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010120,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010125,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010128,2016,Not Available,"$14,792","$13,201",Not Available,"$12,530","$11,177",Not Available,"$17,456","$15,247",Not Available,25,51,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
010062,2015,Not Available,"$14,114","$12,762",Not Available,"$12,295","$11,641",Not Available,"$16,154","$13,910",Not Available,71,177,Number of Cases Too Small,No Different than the National Average Payment,Less than the National Average Payment
010065,2016,"$24,270","$18,335","$16,777","$21,449","$16,793","$15,348","$27,592","$19,988","$18,249",62,205,191,No Different than the National Average Payment,Greater than the National Average Payment,Greater than the National Average Payment
010073,2015,Not Available,"$12,755","$12,032",Not Available,"$11,078","$10,695",Not Available,"$14,600","$13,329",Not Available,61,112,Number of Cases Too Small,Less than the National Average Payment,Less than the National Average Payment
010078,2016,"$23,871","$15,574","$14,262","$22,199","$14,641","$13,363","$25,561","$16,539","$15,204",338,510,378,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010079,2016,Not Available,"$14,637","$14,488",Not Available,"$13,302","$13,349",Not Available,"$16,021","$15,601",Not Available,169,240,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
010083,2014,22248,NULL,NULL,19663,NULL,NULL,25236,NULL,NULL,80,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010085,2014,20750,NULL,NULL,18426,NULL,NULL,23257,NULL,NULL,73,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010086,2014,20293,NULL,NULL,17474,NULL,NULL,23810,NULL,NULL,31,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010087,2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small
010089,2015,"$21,177","$15,344","$13,742","$18,660","$14,060","$12,785","$23,980","$16,788","$14,790",72,203,263,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010090,2015,"$23,028","$14,892","$14,726","$21,269","$13,967","$13,902","$25,072","$15,852","$15,541",235,459,495,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010091,2015,Not Available,"$14,800","$14,717",Not Available,"$13,087","$12,778",Not Available,"$16,785","$16,852",Not Available,81,60,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
010092,2014,21663,NULL,NULL,20362,NULL,NULL,23069,NULL,NULL,384,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010097,2016,Not Available,"$14,750","$14,225",Not Available,"$12,644","$12,367",Not Available,"$16,965","$16,090",Not Available,42,65,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
010099,2016,"$22,071","$14,561","$14,144","$19,156","$12,801","$12,816","$25,577","$16,391","$15,431",32,83,179,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010100,2016,"$22,546","$16,614","$13,840","$20,643","$15,412","$12,804","$24,825","$17,954","$14,879",155,280,252,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010101,2016,"$23,516","$14,567","$15,828","$20,189","$12,986","$13,965","$27,135","$16,424","$17,668",26,95,87,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010102,2016,Not Available,Not Available,"$12,526",Not Available,Not Available,"$10,629",Not Available,Not Available,"$14,536",Not Available,Not Available,47,Number of Cases Too Small,Number of Cases Too Small,Less than the National Average Payment
010104,2015,"$19,936","$15,332","$15,772","$18,477","$14,063","$14,519","$21,422","$16,713","$17,041",267,246,249,Less than the National Average Payment,No Different than the National Average Payment,Greater than the National Average Payment
010109,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010110,2015,Not Available,"$15,083","$11,916",Not Available,"$12,772","$9,736",Not Available,"$17,748","$14,262",Not Available,32,25,Number of Cases Too Small,No Different than the National Average Payment,Less than the National Average Payment
010112,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
